DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (42.08 42.08 42.08)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.063 seconds
2048 atoms in group Ar
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 31 31 31
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.287 | 3.287 | 3.287 Mbytes
   Step          Temp          Press          Volume         TotEng    
         0   2.5            0.068680059    74512.167      3.7481689    
       100   4.3621849      0.31043342     31910.386      6.3529732    
       200   5.6690238      0.67320319     19421.596      8.0697793    
       300   6.2195726      1.1249954      13605.686      8.7293905    
       400   6.2562795      1.5341931      10358.885      8.5611403    
       500   5.9279528      1.9639016      8331.741       7.9121204    
       600   5.4982846      2.3663039      6967.6474      7.0443198    
       700   5.0243857      2.6548149      5990.6557      6.1024431    
       800   4.6334045      2.8616821      5259.4911      5.1841272    
       900   4.214116       3.2822827      4714.1403      4.3555878    
      1000   3.8949601      3.4697939      4289.7788      3.6110874    
      1100   3.6256138      3.6187634      3963.1581      2.944081     
      1200   3.3823603      3.9306309      3696.6433      2.3560292    
      1300   3.1835957      4.0647135      3484.0339      1.8278268    
      1400   2.9518826      4.3834695      3325.8386      1.3427122    
      1500   2.8079976      4.3411995      3202.0069      0.93302596   
      1600   2.6753699      4.5599898      3090.0603      0.59298524   
      1700   2.5782166      4.6828793      3002.1304      0.30979552   
      1800   2.4722091      4.8933885      2935.8829      0.067948786  
      1900   2.4054952      4.8372329      2899.4466     -0.14303855   
      2000   2.3824534      4.7299833      2871.4056     -0.26363418   
      2100   2.4110726      4.692524       2842.8736     -0.27611296   
      2200   2.387874       4.9565201      2837.8481     -0.25155131   
      2300   2.355642       5.3084531      2853.7218     -0.19142425   
      2400   2.4086929      5.2941969      2868.8909     -0.060489109  
      2500   2.4740672      5.1166968      2903.843       0.054509216  
      2600   2.5164514      5.1734149      2931.3996      0.1820591    
      2700   2.5830358      5.0482418      2952.8532      0.28949407   
      2800   2.6026992      5.2436688      2957.1629      0.36849244   
      2900   2.5776752      5.0592366      2971.1856      0.33041816   
      3000   2.5665746      4.9253983      2963.3828      0.26897063   
      3100   2.5617374      4.8399315      2941.5705      0.19358208   
      3200   2.5648297      4.9098491      2903.9511      0.12227704   
      3300   2.4646307      4.7698673      2907.5178     -0.055360876  
      3400   2.4421529      5.2679914      2857.6953     -0.0749891    
      3500   2.4299163      4.8023221      2865.2886     -0.18023179   
      3600   2.4602637      4.8335148      2853.1985     -0.17016321   
      3700   2.3684881      4.8993148      2883.3948     -0.20514994   
      3800   2.5290232      5.0598099      2852.0959     -0.029173185  
      3900   2.4553513      4.7857944      2911.7056     -0.039101703  
      4000   2.533739       5.2830155      2898.386       0.14425459   
      4100   2.5852589      4.6491012      2940.5679      0.17524684   
      4200   2.5728664      5.0183303      2944.1411      0.25392663   
      4300   2.5687491      5.2888522      2942.2582      0.29582925   
      4400   2.5648933      4.9570801      2953.2201      0.24694887   
      4500   2.6021685      4.9609787      2920.6846      0.2339123    
      4600   2.481308       4.966161       2931.7523      0.079184477  
      4700   2.4624235      5.2073023      2895.6152      0.035462363  
      4800   2.4708114      4.9732549      2887.465      -0.052395589  
      4900   2.4150396      4.9352854      2888.3561     -0.11396398   
      5000   2.4373374      5.2500938      2867.3741     -0.069568129  
      5100   2.4144719      4.6681449      2907.7168     -0.11854229   
      5200   2.5882459      5.0405925      2862.8936      0.072436973  
      5300   2.4751537      4.7193005      2927.7855      0.0038891048 
      5400   2.5576642      5.2032151      2894.4999      0.1597341    
      5500   2.5409001      4.9030577      2924.9118      0.14037901   
      5600   2.5495521      5.0894244      2919.4228      0.17597058   
      5700   2.5349527      4.9754295      2928.7121      0.15182131   
      5800   2.5351917      5.0206514      2918.0834      0.14531983   
      5900   2.5229139      5.3939043      2891.99        0.14302457   
      6000   2.4684068      4.7584789      2916.9517     -0.00086604702
      6100   2.4644524      4.9906703      2893.5771     -0.01735964   
      6200   2.4183933      5.2851475      2884.8457     -0.027953472  
      6300   2.4480883      4.7733058      2903.2562     -0.069042205  
      6400   2.5182343      5.0780533      2869.7091      0.046869495  
      6500   2.4536379      4.7637202      2917.7627     -0.02865536   
      6600   2.5481714      5.1077841      2884.1079      0.1085637    
      6700   2.5127934      4.9030786      2916.2502      0.072320629  
      6800   2.5145044      5.1632952      2904.9078      0.12610656   
      6900   2.5282535      4.8358923      2927.2084      0.096761707  
      7000   2.540849       4.8834463      2923.0065      0.11388026   
      7100   2.4900522      4.9177848      2926.4152      0.093932193  
      7200   2.5514398      5.1879868      2891.3304      0.14604117   
      7300   2.4902738      4.5980651      2933.3279     -0.0059063848 
      7400   2.5520206      5.0175543      2880.8704      0.066783167  
      7500   2.4706364      4.8049192      2902.2182     -0.030768836  
      7600   2.5075563      5.3632758      2851.9367      0.053090076  
      7700   2.3738459      4.9577638      2909.3959     -0.1112954    
      7800   2.472582       5.5678579      2850.3199      0.038363     
      7900   2.4288213      4.7376972      2911.8081     -0.075977344  
      8000   2.5100836      5.177813       2881.1626      0.049832973  
      8100   2.4429111      5.0812357      2913.5994      0.035853175  
      8200   2.524009       4.9950822      2913.3668      0.1102465    
      8300   2.5478174      4.6511265      2935.0427      0.1113324    
      8400   2.5540396      5.0959926      2918.8094      0.18169167   
      8500   2.5191471      5.2785831      2919.381       0.17733525   
      8600   2.4726551      5.2346644      2929.2638      0.12600699   
      8700   2.5200465      5.2099596      2905.509       0.14246001   
      8800   2.5321443      4.7967553      2917.6558      0.057435545  
      8900   2.4772174      5.0332459      2901.5755      0.038382366  
      9000   2.4890616      4.844581       2902.0382     -0.0020332199 
      9100   2.4907382      4.753861       2901.5388     -0.023627353  
      9200   2.5013021      5.1555782      2878.3131      0.027580945  
      9300   2.4887272      4.6303767      2908.0079     -0.040465445  
      9400   2.5267175      5.114459       2872.461       0.049213185  
      9500   2.493694       4.6545734      2909.2732     -0.028719255  
      9600   2.5001227      4.7785571      2900.9845      0.0029097973 
      9700   2.5082975      4.8814113      2897.7561      0.028937242  
      9800   2.448809       5.2742852      2900.0526      0.046659835  
      9900   2.4901181      5.2698804      2896.4851      0.091943405  
     10000   2.5065278      4.6715021      2931.9923      0.052338107  
     10100   2.5441025      5.1256766      2904.9444      0.14937741   
     10200   2.4766987      5.2542451      2919.2746      0.12223276   
     10300   2.5209825      5.2904097      2902.9242      0.14994944   
     10400   2.4929638      4.8389756      2930.6615      0.058500346  
     10500   2.5350402      5.2842669      2883.76        0.13796848   
     10600   2.4912599      4.6585321      2919.7307      0.0069466069 
     10700   2.4862314      5.1724734      2889.6934      0.043970199  
     10800   2.4950536      4.8775342      2900.8299      0.0053875491 
     10900   2.4987839      4.8818485      2899.1867      0.0067295046 
     11000   2.5178321      4.9416098      2890.9746      0.035232247  
     11100   2.4121409      5.0224018      2919.9345     -0.025315315  
     11200   2.4638046      5.3795928      2896.8231      0.064844414  
     11300   2.5162437      5.0505134      2905.1863      0.1003541    
     11400   2.4974408      5.0123601      2920.344       0.10440338   
     11500   2.5294725      5.1182088      2915.0164      0.14662989   
     11600   2.5293065      5.0490187      2916.0787      0.14609029   
     11700   2.5037704      4.9190071      2922.9271      0.10023343   
     11800   2.5102931      4.956838       2909.1724      0.075706926  
     11900   2.4903364      5.0028741      2902.1961      0.030595633  
     12000   2.504203       4.8652229      2891.074       0.0054477177 
     12100   2.4607243      4.7464793      2905.1451     -0.065093828  
     12200   2.4879767      5.3248697      2864.2459      0.032878101  
     12300   2.4197955      4.8071267      2915.9666     -0.065268453  
     12400   2.5124615      5.3297942      2872.135       0.082504116  
     12500   2.473826       4.9513913      2912.7671      0.026465793  
     12600   2.5565509      5.0035448      2895.9274      0.10003867   
     12700   2.5262989      4.9649951      2914.7968      0.079869968  
     12800   2.5331985      4.4816798      2934.4635      0.059477082  
     12900   2.5170064      5.1423691      2913.1792      0.12763619   
     13000   2.528008       5.2596158      2906.4131      0.14826184   
     13100   2.5004965      4.8241272      2932.464       0.073949411  
     13200   2.5482742      5.2649346      2891.3934      0.15210232   
     13300   2.4409793      5.0646071      2920.753       0.050735692  
     13400   2.4898759      4.9545297      2909.2062      0.045646518  
     13500   2.5589542      4.7652381      2894.8653      0.051140397  
     13600   2.4422063      4.9804212      2910.7138     -0.0086781268 
     13700   2.5193761      5.122573       2885.8828      0.050892712  
     13800   2.4736372      4.7172925      2922.8648     -0.011039559  
     13900   2.5429564      5.0158257      2896.0994      0.093486095  
     14000   2.4861229      5.10109        2913.7089      0.077668075  
     14100   2.5108046      4.8495411      2925.4596      0.076908169  
     14200   2.6008625      5.0305783      2897.0557      0.16694556   
     14300   2.4970362      4.9643828      2925.6543      0.094849243  
     14400   2.5016984      5.3379756      2901.8245      0.1219718    
     14500   2.5131766      5.065736       2904.0139      0.07865635   
     14600   2.4592002      4.6410157      2931.6273     -0.022611515  
     14700   2.5704482      5.1503949      2871.8637      0.097363003  
     14800   2.4275284      4.6459061      2927.7443     -0.058837575  
     14900   2.4989032      5.082184       2885.8861      0.043026556  
     15000   2.4627479      5.2207723      2895.1851      0.034125637  
     15100   2.471802       5.1230147      2902.0952      0.041398741  
     15200   2.4810278      5.1029074      2903.4334      0.074180053  
     15300   2.493375       4.8744655      2920.3162      0.055225183  
     15400   2.5243783      5.4334561      2886.6923      0.15184413   
     15500   2.4826616      4.847196       2926.6528      0.060247031  
     15600   2.5263711      4.8957824      2912.5046      0.086530185  
