# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.00053989 9.76563e-05
18 0.875 0.0655594 0.0126953
19 0.925 0.508023 0.125684
20 0.975 1.12384 0.442383
21 1.025 1.49199 0.926074
22 1.075 1.53824 1.48135
23 1.125 1.48698 2.05957
24 1.175 1.36066 2.63232
25 1.225 1.25233 3.1873
26 1.275 1.13422 3.7249
27 1.325 1.02899 4.24658
28 1.375 0.979743 4.76729
29 1.425 0.949904 5.2957
30 1.475 0.9138 5.84326
31 1.525 0.922776 6.42383
32 1.575 0.903499 7.02939
33 1.625 0.88013 7.66143
34 1.675 0.884211 8.33887
35 1.725 0.882456 9.06553
36 1.775 0.89314 9.84756
37 1.825 0.936396 10.7141
38 1.875 0.965293 11.6614
39 1.925 0.962404 12.68
40 1.975 1.0105 13.787
41 2.025 1.03003 14.977
42 2.075 1.03423 16.2405
43 2.125 1.04819 17.5703
44 2.175 1.03971 18.9438
45 2.225 1.02954 20.3589
46 2.275 1.03175 21.844
47 2.325 1.0036 23.3481
48 2.375 1.00906 24.9069
49 2.425 1.01746 26.5456
50 2.475 0.98767 28.2146
2000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00373252 0.00146484
19 0.925 0.213065 0.0985352
20 0.975 1.25532 0.745898
21 1.025 2.45049 2.15303
22 1.075 2.67522 3.84521
23 1.125 2.25836 5.40674
24 1.175 1.76931 6.73799
25 1.225 1.38227 7.86572
26 1.275 1.08816 8.825
27 1.325 0.894547 9.67539
28 1.375 0.761195 10.4546
29 1.425 0.683344 11.2053
30 1.475 0.637894 11.9558
31 1.525 0.646414 12.7685
32 1.575 0.644345 13.634
33 1.625 0.678722 14.6061
34 1.675 0.738714 15.7312
35 1.725 0.823739 17.0635
36 1.775 0.916081 18.6362
37 1.825 1.01382 20.477
38 1.875 1.09803 22.5837
39 1.925 1.16658 24.9425
40 1.975 1.23255 27.566
41 2.025 1.24171 30.3423
42 2.075 1.2276 33.2241
43 2.125 1.1933 36.1609
44 2.175 1.11459 39.0312
45 2.225 1.054 41.8699
46 2.275 0.986992 44.6445
47 2.325 0.936761 47.3938
48 2.375 0.888645 50.1119
49 2.425 0.880186 52.9191
50 2.475 0.85777 55.7693
3000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.000659541 0.000292969
19 0.925 0.126413 0.0634766
20 0.975 1.1719 0.714453
21 1.025 2.67277 2.35557
22 1.075 3.01319 4.39082
23 1.125 2.46809 6.2165
24 1.175 1.86962 7.725
25 1.225 1.33645 8.89687
26 1.275 1.00512 9.85166
27 1.325 0.792801 10.6647
28 1.375 0.64131 11.373
29 1.425 0.588099 12.0708
30 1.475 0.544359 12.7627
