# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
28 1.375 0.919549 8.96133
29 1.425 0.85026 9.79189
30 1.475 0.802275 10.6315
31 1.525 0.751756 11.4726
32 1.575 0.756018 12.3747
33 1.625 0.76818 13.3505
34 1.675 0.781978 14.4059
35 1.725 0.818699 15.5777
36 1.775 0.875422 16.9045
37 1.825 0.950935 18.428
38 1.875 1.01021 20.1364
39 1.925 1.07391 22.0507
40 1.975 1.10964 24.1327
41 2.025 1.13439 26.3703
42 2.075 1.14597 28.7437
43 2.125 1.14352 31.2276
44 2.175 1.10233 33.736
45 2.225 1.06901 36.2817
46 2.275 1.03415 38.8563
47 2.325 0.994505 41.4423
48 2.375 0.966966 44.0659
49 2.425 0.957159 46.7734
50 2.475 0.933892 49.5252
26000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.000298202 9.76563e-05
18 0.875 0.0307521 0.0114258
19 0.925 0.446459 0.195215
20 0.975 1.361 0.817676
21 1.025 2.06246 1.86016
22 1.075 2.13559 3.04746
23 1.125 1.94905 4.23418
24 1.175 1.6494 5.32969
25 1.225 1.37751 6.32412
26 1.275 1.16871 7.23809
27 1.325 1.02933 8.10742
28 1.375 0.925025 8.94873
29 1.425 0.857158 9.78604
30 1.475 0.814685 10.6387
31 1.525 0.757692 11.4863
32 1.575 0.754463 12.3866
33 1.625 0.763721 13.3567
34 1.675 0.798259 14.4341
35 1.725 0.828864 15.6205
36 1.775 0.881222 16.9561
37 1.825 0.94484 18.4698
38 1.875 0.998258 20.158
39 1.925 1.06848 22.0626
40 1.975 1.10558 24.137
41 2.025 1.12874 26.3635
42 2.075 1.13724 28.7188
43 2.125 1.13089 31.1753
44 2.175 1.11142 33.7044
45 2.225 1.0558 36.2187
46 2.275 1.04105 38.8104
47 2.325 1.00209 41.4161
48 2.375 0.970169 44.0484
49 2.425 0.952188 46.7419
50 2.475 0.950695 49.5432
27000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0318125 0.0117188
19 0.925 0.427956 0.187891
20 0.975 1.38684 0.822168
21 1.025 2.0387 1.85264
22 1.075 2.15263 3.04941
23 1.125 1.95851 4.24189
24 1.175 1.66748 5.34941
25 1.225 1.40565 6.36416
26 1.275 1.16846 7.27793
27 1.325 1.01846 8.13809
28 1.375 0.914502 8.96982
29 1.425 0.837963 9.78838
30 1.475 0.787439 10.6125
31 1.525 0.763104 11.4662
32 1.575 0.753972 12.3659
33 1.625 0.756725 13.3271
34 1.675 0.79153 14.3954
35 1.725 0.809079 15.5535
36 1.775 0.903903 16.9234
37 1.825 0.950814 18.4468
38 1.875 1.00363 20.144
39 1.925 1.05813 22.0302
40 1.975 1.11313 24.1187
41 2.025 1.14978 26.3867
42 2.075 1.1437 28.7555
43 2.125 1.11943 31.187
44 2.175 1.09924 33.6884
