# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.00761078 0.000976562
18 0.875 0.136901 0.0208984
19 0.925 0.608038 0.120801
20 0.975 1.0762 0.325879
21 1.025 1.34979 0.617383
22 1.075 1.37979 0.946094
23 1.125 1.33323 1.29395
24 1.175 1.31656 1.65908
25 1.225 1.17909 2.02051
26 1.275 1.11798 2.38369
27 1.325 1.10631 2.76816
28 1.375 0.997341 3.14355
29 1.425 1.03236 3.54736
30 1.475 0.997194 3.96855
31 1.525 0.936851 4.39668
32 1.575 0.939427 4.8501
33 1.625 0.939766 5.32168
34 1.675 0.933371 5.83252
35 1.725 0.932123 6.37119
36 1.775 0.953817 6.95566
37 1.825 0.939484 7.5668
38 1.875 0.952644 8.21104
39 1.925 0.958543 8.91445
40 1.975 0.991083 9.67285
41 2.025 0.976445 10.4565
42 2.075 1.00472 11.3063
43 2.125 0.993151 12.1903
44 2.175 0.997104 13.1143
45 2.225 1.0051 14.082
46 2.275 1.00664 15.0842
47 2.325 1.00413 16.127
48 2.375 1.00236 17.2237
49 2.425 0.988349 18.3533
50 2.475 0.999519 19.5212
2000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.000719763 0.000195313
18 0.875 0.0490501 0.0160156
19 0.925 0.468567 0.191016
20 0.975 1.31624 0.744043
21 1.025 1.91059 1.63564
22 1.075 2.00311 2.66279
23 1.125 1.83746 3.69453
24 1.175 1.62011 4.68369
25 1.225 1.39622 5.60791
26 1.275 1.19678 6.46279
27 1.325 1.06146 7.28232
28 1.375 0.968226 8.0874
29 1.425 0.890532 8.88066
30 1.475 0.848991 9.69033
31 1.525 0.801174 10.5091
32 1.575 0.784034 11.362
33 1.625 0.80997 12.3005
34 1.675 0.834253 13.3292
35 1.725 0.841536 14.4306
36 1.775 0.881456 15.6556
37 1.825 0.928929 17.0191
38 1.875 0.988361 18.5511
39 1.925 1.03289 20.2434
40 1.975 1.06652 22.0821
41 2.025 1.0961 24.0706
42 2.075 1.10873 26.1811
43 2.125 1.10431 28.3853
44 2.175 1.09818 30.6792
45 2.225 1.06505 33.0049
46 2.275 1.02736 35.3489
47 2.325 1.01017 37.7557
48 2.375 0.993192 40.2217
49 2.425 0.990364 42.785
50 2.475 0.973941 45.4094
3000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0251822 0.00927734
19 0.925 0.405766 0.176465
20 0.975 1.3595 0.799609
21 1.025 2.08795 1.85742
22 1.075 2.18167 3.07324
23 1.125 1.9555 4.2666
24 1.175 1.64984 5.36475
25 1.225 1.38436 6.36631
26 1.275 1.20357 7.30957
27 1.325 1.02894 8.18047
28 1.375 0.903791 9.0041
29 1.425 0.826639 9.81309
