# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 100
24 1.128 0 0 0 0 0 0
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0 0 0 0
31 1.464 0 0 0 0 0 0
32 1.512 0 0 0 0 0 0
33 1.56 0 0 0 0 0 0
34 1.608 0 0 0 0 0 0
35 1.656 0 0 0 0 0 0
36 1.704 0 0 0 0 0 0
37 1.752 0 0 0 0 0.122682 0.0125
38 1.8 0 0 0 0 0.581134 0.075
39 1.848 0 0 0 0 1.65402 0.2625
40 1.896 0 0 0 0 3.35218 0.6625
41 1.944 0 0 0 0 4.83286 1.26875
42 1.992 0 0 0 0 5.07728 1.9375
43 2.04 0 0 0 0 4.70544 2.5875
44 2.088 0 0 0 0 4.27565 3.20625
45 2.136 0 0 0 0 3.87931 3.79375
46 2.184 0 0 0 0 3.23697 4.30625
47 2.232 0 0 0 0 2.83468 4.775
48 2.28 0 0 0 0 1.66617 5.0625
49 2.328 0.296473 0.0125 0 0 1.56343 5.34375
50 2.376 0 0.0125 0 0 0.933894 5.51875
51 2.424 0 0.0125 0.192273 0.01875 0.672957 5.65
52 2.472 0.525879 0.0375 0.493011 0.06875 0.585451 5.76875
53 2.52 1.77113 0.125 0.711614 0.14375 0.593012 5.89375
54 2.568 2.68013 0.2625 0.742366 0.225 0.256973 5.95
55 2.616 2.81747 0.4125 1.59583 0.40625 0.0550288 5.9625
56 2.664 4.30169 0.65 1.59191 0.59375 0.0530637 5.975
57 2.712 5.24308 0.95 1.53606 0.78125 0.051202 5.9875
58 2.76 2.53115 1.1 2.52126 1.1 0.0247183 5.99375
59 2.808 2.64914 1.2625 2.96118 1.4875 0 5.99375
60 2.856 1.5759 1.3625 2.86248 1.875 0.0230845 6
61 2.904 1.52424 1.4625 3.61709 2.38125 0.0223277 6.00625
62 2.952 1.47507 1.5625 3.50042 2.8875 0.0432151 6.01875
63 3 1.42825 1.6625 3.89142 3.46875 0.12553 6.05625
64 3.048 2.24838 1.825 3.89143 4.06875 0 6.05625
65 3.096 1.34105 1.925 2.35732 4.44375 0.0589329 6.075
66 3.144 1.13786 2.0125 2.0573 4.78125 0.266687 6.1625
