# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 100
47 2.232 0 0 0 0 0 4
48 2.28 0 0 0 0 0 4
49 2.328 0 0 0 0 0 4
50 2.376 0 0 0 0 0 4
51 2.424 0 0 0 0 0 4
52 2.472 0 0 0 0 0 4
53 2.52 0 0 0 0 0 4
54 2.568 0 0 0 0 0 4
55 2.616 0 0 0 0 0 4
56 2.664 0 0 0 0 0 4
57 2.712 0 0 0 0 0 4
58 2.76 0 0 0 0 0 4
59 2.808 0 0 0 0 0 4
60 2.856 0 0 0 0 0 4
61 2.904 0 0 0 0 0 4
62 2.952 0 0 0 0 0 4
63 3 0 0 0 0 0 4
64 3.048 0 0 0 0 0 4
65 3.096 0 0 0.0397811 0.00625 0.0397811 4.0125
66 3.144 0 0 0.0771514 0.01875 0.0385757 4.025
67 3.192 0 0 0.636213 0.125 0.205834 4.09375
68 3.24 0 0 1.30765 0.35 0.417722 4.2375
69 3.288 0 0 2.75113 0.8375 1.16394 4.65
70 3.336 0.14619 0.0125 5.37932 1.81875 2.86098 5.69375
71 3.384 0.568288 0.0625 7.75846 3.275 3.39641 6.96875
72 3.432 0.828755 0.1375 9.29112 5.06875 4.03047 8.525
73 3.48 2.41815 0.3625 9.82374 7.01875 4.03025 10.125
74 3.528 3.13707 0.6625 8.66982 8.7875 3.96729 11.7438
75 3.576 8.26967 1.475 7.18626 10.2937 3.63786 13.2688
76 3.624 8.9192 2.375 4.15184 11.1875 2.7437 14.45
77 3.672 6.63632 3.0625 2.48862 11.7375 1.52711 15.125
78 3.72 4.82024 3.575 0.661313 11.8875 1.06086 15.6062
79 3.768 1.94804 3.7875 0.295429 11.9563 0.456572 15.8187
80 3.816 0.893807 3.8875 0.104743 11.9812 0.248765 15.9375
81 3.864 0.762772 3.975 0.0766177 12 0.0893873 15.9812
82 3.912 0.21262 4 0 12 0.0373745 16
83 3.96 0 4 0 12 0 16
84 4.008 0 4 0 12 0 16
85 4.056 0 4 0 12 0 16
86 4.104 0 4 0 12 0.0113198 16.0063
87 4.152 0 4 0 12 0.0221191 16.0188
88 4.2 0 4 0 12 0.281014 16.1812
89 4.248 0 4 0 12 0.45431 16.45
90 4.296 0 4 0 12 0.981405 17.0437
91 4.344 0 4 0 12 1.55595 18.0063
92 4.392 0 4 0 12 2.22388 19.4125
93 4.44 0 4 0 12 2.38883 20.9563
94 4.488 0 4 0 12 2.92487 22.8875
95 4.536 0 4 0 12 2.50191 24.575
96 4.584 0 4 0 12 2.02334 25.9688
97 4.632 0 4 0 12 1.39514 26.95
98 4.68 0 4 0 12 0.766028 27.5
99 4.728 0 4 0 12 0.426451 27.8125
100 4.776 0 4 0 12 0.175527 27.9438
50300 100
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
12 0.552 0 0 0 0 0 0
13 0.6 0 0 0 0 0 0
14 0.648 0 0 0 0 0 0
15 0.696 0 0 0 0 0 0
16 0.744 0 0 0 0 0 0
17 0.792 0 0 0 0 0 0
18 0.84 0 0 0 0 0 0
19 0.888 0 0 0 0 0 0
20 0.936 0 0 0 0 0 0
21 0.984 0 0 0 0 0 0
22 1.032 0 0 0 0 0 0
23 1.08 0 0 0 0 0 0
24 1.128 0 0 0 0 0 0
