# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00226459 0.0005
38 0.9375 0.0512759 0.01245
39 0.9625 0.290457 0.0838
40 0.9875 0.864358 0.3073
41 1.0125 1.688 0.76615
42 1.0375 2.43974 1.4625
43 1.0625 2.88418 2.32585
44 1.0875 3.00869 3.26935
45 1.1125 2.84894 4.2043
46 1.1375 2.59248 5.09375
47 1.1625 2.26255 5.9045
48 1.1875 1.96249 6.6383
49 1.2125 1.69732 7.29995
50 1.2375 1.43069 7.8809
51 1.2625 1.2415 8.4056
52 1.2875 1.09468 8.88675
53 1.3125 0.962955 9.3266
54 1.3375 0.875854 9.74205
55 1.3625 0.807339 10.1395
56 1.3875 0.719347 10.5066
57 1.4125 0.683524 10.8682
58 1.4375 0.652291 11.2256
59 1.4625 0.612461 11.573
60 1.4875 0.592644 11.9207
61 1.5125 0.57882 12.2718
62 1.5375 0.583044 12.6372
63 1.5625 0.583846 13.0152
64 1.5875 0.583785 13.4053
65 1.6125 0.602593 13.8208
66 1.6375 0.612816 14.2565
67 1.6625 0.654359 14.736
68 1.6875 0.695109 15.2608
69 1.7125 0.737205 15.8341
70 1.7375 0.775297 16.4547
71 1.7625 0.835409 17.1428
72 1.7875 0.883322 17.8912
73 1.8125 0.932941 18.7038
74 1.8375 1.00217 19.601
75 1.8625 1.0416 20.5591
76 1.8875 1.10471 21.6026
77 1.9125 1.13979 22.708
78 1.9375 1.17331 23.8758
79 1.9625 1.20001 25.1013
80 1.9875 1.24839 26.4089
81 2.0125 1.24164 27.7423
82 2.0375 1.2646 29.1343
83 2.0625 1.27814 30.5759
84 2.0875 1.28372 32.0592
85 2.1125 1.26894 33.5607
86 2.1375 1.2502 35.0752
87 2.1625 1.21961 36.5875
88 2.1875 1.1913 38.099
89 2.2125 1.15166 39.5938
