# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0.000805343 0.000488281
12 0.92 0.312899 0.228027
13 1 1.93714 1.89219
14 1.08 2.44561 4.34258
15 1.16 1.83835 6.46738
16 1.24 1.26918 8.14355
17 1.32 0.964736 9.5873
18 1.4 0.772149 10.8871
19 1.48 0.684772 12.1753
20 1.56 0.668968 13.5734
21 1.64 0.719629 15.2356
22 1.72 0.814235 17.3043
23 1.8 0.94108 19.9228
24 1.88 1.07457 23.1843
25 1.96 1.1811 27.0807
26 2.04 1.21132 31.4096
27 2.12 1.17386 35.94
28 2.2 1.09315 40.4834
29 2.28 1.01114 44.9971
30 2.36 0.935185 49.4697
31 2.44 0.901538 54.0787
32 2.52 0.88452 58.9021
33 2.6 0.905071 64.1558
34 2.68 0.949386 70.011
35 2.76 1.00738 76.6004
36 2.84 1.04376 83.8292
37 2.92 1.06369 91.6169
38 3 1.06807 99.871
39 3.08 1.04847 108.412
40 3.16 1.02139 117.169
41 3.24 0.994694 126.135
42 3.32 0.978529 135.397
43 3.4 0.959725 144.923
44 3.48 0.960802 154.914
45 3.56 0.97448 165.519
46 3.64 0.985243 176.728
47 3.72 1.00648 188.687
48 3.8 1.01913 201.323
49 3.88 1.02719 214.601
50 3.96 1.02212 228.364
22000 50
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0.000322137 0.000195313
12 0.92 0.305379 0.222266
13 1 1.93691 1.88623
14 1.08 2.44502 4.33604
15 1.16 1.84089 6.46377
16 1.24 1.30289 8.18447
17 1.32 0.9464 9.60078
18 1.4 0.76687 10.8917
19 1.48 0.674857 12.1612
20 1.56 0.676537 13.5752
21 1.64 0.717896 15.2334
22 1.72 0.803088 17.2737
23 1.8 0.948731 19.9135
24 1.88 1.07943 23.1897
25 1.96 1.17713 27.073
26 2.04 1.21493 31.4148
27 2.12 1.18049 35.9709
28 2.2 1.09181 40.5087
29 2.28 1.00325 44.9871
30 2.36 0.935287 49.4603
31 2.44 0.891662 54.0187
32 2.52 0.890036 58.8722
33 2.6 0.915283 64.1852
34 2.68 0.955783 70.0799
35 2.76 0.999001 76.6145
36 2.84 1.0493 83.8816
37 2.92 1.0585 91.6313
38 3 1.06099 99.8308
39 3.08 1.04521 108.345
40 3.16 1.02551 117.138
41 3.24 0.998464 126.138
42 3.32 0.972534 135.342
43 3.4 0.965687 144.928
44 3.48 0.965178 154.965
45 3.56 0.969563 165.516
46 3.64 0.986762 176.742
47 3.72 1.00463 188.679
48 3.8 1.01735 201.294
49 3.88 1.03025 214.611
50 3.96 1.02107 228.36
23000 50
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0.000966411 0.000585937
12 0.92 0.316793 0.230957
13 1 1.93327 1.8918
14 1.08 2.44463 4.34121
15 1.16 1.83353 6.46045
16 1.24 1.28973 8.16377
17 1.32 0.947378 9.58154
18 1.4 0.766058 10.8711
19 1.48 0.685914 12.1614
20 1.56 0.67635 13.575
21 1.64 0.713795 15.2237
22 1.72 0.817156 17.2998
23 1.8 0.935183 19.9019
24 1.88 1.07892 23.1766
25 1.96 1.19007 27.1025
26 2.04 1.21209 31.4342
27 2.12 1.18353 36.002
28 2.2 1.08056 40.493
29 2.28 0.997209 44.9444
30 2.36 0.93835 49.4322
31 2.44 0.895234 54.009
32 2.52 0.886186 58.8414
33 2.6 0.915434 64.1553
34 2.68 0.956891 70.0568
35 2.76 1.00209 76.6116
36 2.84 1.04961 83.881
37 2.92 1.06145 91.6522
38 3 1.0672 99.8996
39 3.08 1.04505 108.412
40 3.16 1.01765 117.138
41 3.24 0.992582 126.085
42 3.32 0.970738 135.273
43 3.4 0.963877 144.84
44 3.48 0.967601 154.902
45 3.56 0.975826 165.521
46 3.64 0.990874 176.794
47 3.72 1.00561 188.743
48 3.8 1.01962 201.386
49 3.88 1.02365 214.618
50 3.96 1.021 228.366
24000 50
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0.000322137 0.000195313
12 0.92 0.299604 0.218066
13 1 1.93634 1.88154
14 1.08 2.46296 4.34932
15 1.16 1.84435 6.48105
16 1.24 1.29217 8.1876
17 1.32 0.930542 9.58018
18 1.4 0.762229 10.8633
19 1.48 0.692144 12.1653
20 1.56 0.672238 13.5703
21 1.64 0.720306 15.2341
22 1.72 0.811698 17.2963
