# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0.00110785 0.000390625
7 0.91 0.492674 0.269141
8 1.05 1.40194 1.35303
9 1.19 1.27736 2.58564
10 1.33 1.06262 3.82832
11 1.47 0.955211 5.15361
12 1.61 0.910914 6.66592
13 1.75 0.916812 8.47393
14 1.89 0.947814 10.6795
15 2.03 1.00907 13.3796
16 2.17 1.02546 16.4856
17 2.31 1.02207 20.0022
18 2.45 0.996764 23.8328
19 2.59 0.992773 28.0788
20 2.73 0.991583 32.7985
21 2.87 0.991257 38.0104
22 3.01 0.998369 43.8188
23 3.15 1.00198 50.1687
24 3.29 1.00723 57.1472
25 3.43 1.00169 64.7014
26 3.57 0.996593 72.8245
27 3.71 0.990082 81.5902
28 3.85 0.997609 91.0231
29 3.99 1.00316 101.251
30 4.13 0.996648 112.107
31 4.27 0.999808 123.781
32 4.41 1.00486 136.256
33 4.55 1.00225 149.512
34 4.69 0.994717 163.484
35 4.83 1.00346 178.409
36 4.97 1.00013 194.209
37 5.11 0.99973 210.912
38 5.25 1.0011 228.578
39 5.39 0.995084 247.093
40 5.53 1.00358 266.68
41 5.67 0.997818 287.202
42 5.81 1.00009 308.793
43 5.95 0.997862 331.411
44 6.09 0.998119 355.078
45 6.23 1.00121 379.904
46 6.37 1.0047 405.933
47 6.51 0.999403 433.056
48 6.65 0.999336 461.309
49 6.79 1.00655 490.853
50 6.93 0.994271 521.395
2000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.431248 0.497363
8 1.05 2.1515 3.83711
9 1.19 1.5739 6.96396
10 1.33 0.975589 9.36885
11 1.47 0.76981 11.6836
12 1.61 0.741852 14.3606
13 1.75 0.866336 18.0719
14 1.89 1.05296 23.3474
15 2.03 1.16164 30.0637
16 2.17 1.09763 37.3053
17 2.31 0.995149 44.7193
18 2.45 0.931943 52.5236
19 2.59 0.936769 61.298
20 2.73 0.980156 71.5222
21 2.87 1.02491 83.3416
22 3.01 1.04086 96.5494
23 3.15 1.02465 110.771
24 3.29 0.991729 125.773
25 3.43 0.979918 141.88
26 3.57 0.983203 159.395
27 3.71 0.998477 178.62
28 3.85 1.01063 199.58
29 3.99 1.01113 222.1
30 4.13 1.0042 246.055
31 4.27 0.998951 271.521
32 4.41 0.991924 298.484
33 4.55 0.996302 327.326
34 4.69 1.00073 358.11
35 4.83 1.00375 390.862
36 4.97 1.00582 425.61
37 5.11 1.00264 462.226
38 5.25 0.996149 500.619
39 5.39 0.995808 541.06
40 5.53 1.0009 583.863
41 5.67 1.0026 628.942
42 5.81 1.00258 676.273
43 5.95 1.00027 725.792
44 6.09 1.00092 777.701
45 6.23 0.998971 831.921
46 6.37 0.998157 888.55
47 6.51 1.00157 947.902
48 6.65 1.00157 1009.84
49 6.79 0.999783 1074.31
50 6.93 1.00176 1141.59
3000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.389213 0.491699
8 1.05 2.35617 4.45508
9 1.19 1.61585 7.94443
10 1.33 0.907994 10.3924
11 1.47 0.678397 12.6263
12 1.61 0.694908 15.3712
13 1.75 0.873251 19.4465
14 1.89 1.10284 25.4506
15 2.03 1.21346 33.0709
16 2.17 1.1225 41.1248
17 2.31 0.966767 48.9836
18 2.45 0.885364 57.0785
19 2.59 0.914871 66.4283
20 2.73 0.992424 77.6968
21 2.87 1.05457 90.9313
22 3.01 1.06262 105.598
23 3.15 1.01805 120.986
24 3.29 0.982274 137.181
25 3.43 0.959176 154.37
26 3.57 0.978468 173.368
27 3.71 1.00664 194.474
28 3.85 1.02291 217.571
29 3.99 1.01983 242.303
30 4.13 1.00171 268.328
31 4.27 0.988213 295.774
32 4.41 0.987044 325.014
33 4.55 0.995063 356.393
34 4.69 1.00587 390.095
35 4.83 1.01246 426.073
36 4.97 1.00254 463.794
37 5.11 0.999518 503.548
38 5.25 0.995506 545.342
39 5.39 0.994937 589.37
40 5.53 1.00183 636.036
41 5.67 1.00201 685.103
42 5.81 1.00319 736.686
43 5.95 1.00303 790.773
44 6.09 0.998385 847.174
45 6.23 0.999417 906.258
46 6.37 0.999137 968.01
47 6.51 0.99936 1032.52
48 6.65 1.00204 1100.02
49 6.79 1.00085 1170.3
50 6.93 1.00225 1243.62
4000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.384835 0.483984
8 1.05 2.35437 4.42441
9 1.19 1.61302 7.89053
10 1.33 0.903157 10.3139
11 1.47 0.691152 12.5788
12 1.61 0.701584 15.3367
13 1.75 0.868508 19.3703
14 1.89 1.09294 25.2911
15 2.03 1.21856 32.9054
16 2.17 1.12077 40.9071
17 2.31 0.968102 48.7383
18 2.45 0.88758 56.8155
19 2.59 0.913415 66.1045
20 2.73 0.993367 77.3286
21 2.87 1.04973 90.4371
22 3.01 1.06418 105.054
23 3.15 1.02456 120.464
24 3.29 0.977147 136.496
25 3.43 0.960754 153.631
26 3.57 0.975634 172.479
27 3.71 1.00962 193.545
28 3.85 1.02414 216.556
29 3.99 1.0175 241.111
30 4.13 1.00386 267.065
31 4.27 0.987682 294.361
32 4.41 0.985986 323.428
33 4.55 0.997314 354.724
34 4.69 1.00368 388.188
35 4.83 1.01068 423.927
36 4.97 1.00332 461.492
37 5.11 1.0015 501.131
38 5.25 0.995068 542.702
39 5.39 0.994997 586.519
40 5.53 1.0006 632.898
41 5.67 1.00289 681.769
42 5.81 1.00395 733.136
43 5.95 1.00088 786.845
44 6.09 0.998891 842.998
45 6.23 0.999842 901.818
46 6.37 0.998784 963.247
47 6.51 1.0007 1027.53
48 6.65 1.00039 1094.58
49 6.79 1.00202 1164.61
50 6.93 1.00148 1237.51
5000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.389332 0.487695
8 1.05 2.33222 4.37539
9 1.19 1.62245 7.84805
10 1.33 0.9167 10.2983
11 1.47 0.688362 12.5457
12 1.61 0.699063 15.2831
13 1.75 0.858601 19.2549
14 1.89 1.10565 25.2204
15 2.03 1.21164 32.7615
16 2.17 1.12225 40.7425
17 2.31 0.966376 48.5299
18 2.45 0.894856 56.6412
19 2.59 0.909953 65.8588
20 2.73 0.986347 76.9597
21 2.87 1.0544 90.0743
22 3.01 1.06499 104.644
23 3.15 1.02643 120.023
24 3.29 0.977653 136.001
25 3.43 0.9597 153.049
26 3.57 0.976163 171.834
27 3.71 1.00533 192.728
28 3.85 1.02323 215.628
29 3.99 1.01954 240.135
30 4.13 1.00274 265.959
31 4.27 0.991251 293.247
32 4.41 0.984555 322.157
33 4.55 0.997554 353.338
34 4.69 1.00138 386.595
35 4.83 1.01206 422.242
36 4.97 1.00668 459.785
37 5.11 0.997621 499.115
38 5.25 0.99761 540.63
39 5.39 0.99364 584.214
40 5.53 0.999391 630.357
41 5.67 1.00317 679.049
42 5.81 1.00578 730.308
43 5.95 1.00095 783.809
44 6.09 0.999508 839.777
45 6.23 0.996971 898.199
46 6.37 0.999824 959.45
47 6.51 0.998985 1023.37
48 6.65 1.00198 1090.27
49 6.79 1.0044 1160.18
50 6.93 1.00106 1232.76
6000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.383903 0.482129
8 1.05 2.34733 4.40488
9 1.19 1.6091 7.85752
10 1.33 0.919126 10.3202
11 1.47 0.686375 12.5664
12 1.61 0.696717 15.3012
13 1.75 0.865814 19.3165
14 1.89 1.10067 25.2702
15 2.03 1.21727 32.8651
16 2.17 1.1195 40.8461
17 2.31 0.969631 48.6788
18 2.45 0.888952 56.7563
19 2.59 0.908298 65.9801
20 2.73 0.991456 77.1663
21 2.87 1.05675 90.3432
22 3.01 1.06334 104.926
23 3.15 1.02357 120.3
24 3.29 0.978189 136.326
25 3.43 0.959347 153.41
26 3.57 0.973988 172.2
27 3.71 1.00586 193.156
28 3.85 1.02822 216.226
29 3.99 1.01962 240.794
30 4.13 1.0026 266.679
31 4.27 0.987053 293.918
32 4.41 0.984871 322.909
33 4.55 0.992415 354.007
34 4.69 1.00895 387.598
35 4.83 1.01368 423.391
36 4.97 1.0056 460.986
37 5.11 0.995949 500.347
38 5.25 0.993543 541.795
39 5.39 0.996725 585.623
40 5.53 1.00079 631.945
41 5.67 1.00351 680.774
42 5.81 1.00506 732.124
43 5.95 1.0019 785.808
44 6.09 0.998118 841.836
45 6.23 0.997645 900.441
46 6.37 0.998669 961.774
47 6.51 1.00208 1026.05
48 6.65 1.00212 1093.12
49 6.79 1.00153 1163.01
50 6.93 1.00034 1235.72
7000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.385669 0.486816
8 1.05 2.36213 4.45479
9 1.19 1.61178 7.93115
10 1.33 0.906482 10.3729
11 1.47 0.685536 12.6283
12 1.61 0.691534 15.357
13 1.75 0.869932 19.4123
14 1.89 1.10428 25.4162
15 2.03 1.21635 33.0451
16 2.17 1.12052 41.0753
17 2.31 0.966779 48.9262
18 2.45 0.890471 57.0601
19 2.59 0.907514 66.3236
20 2.73 0.992673 77.5816
21 2.87 1.05837 90.8473
22 3.01 1.05919 105.45
23 3.15 1.02323 120.898
24 3.29 0.979353 137.028
25 3.43 0.958188 154.181
26 3.57 0.977488 173.136
27 3.71 1.00773 194.241
28 3.85 1.0248 217.353
29 3.99 1.01947 242.048
30 4.13 1.00262 268.068
31 4.27 0.987084 295.451
32 4.41 0.985852 324.622
33 4.55 0.998887 356.086
34 4.69 1.00376 389.678
35 4.83 1.01097 425.561
36 4.97 1.0057 463.357
37 5.11 0.997843 503
38 5.25 0.992545 544.622
39 5.39 0.996381 588.664
40 5.53 1.00163 635.266
41 5.67 1.0043 684.389
42 5.81 1.00346 735.925
43 5.95 1.00056 789.817
44 6.09 0.999042 846.19
45 6.23 0.99771 905.106
46 6.37 0.99922 966.793
47 6.51 1.00283 1031.45
48 6.65 1.001 1098.8
49 6.79 1.00127 1169.03
50 6.93 0.999752 1242.08
8000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.386132 0.483887
8 1.05 2.3436 4.39199
9 1.19 1.60415 7.82676
10 1.33 0.921247 10.2901
11 1.47 0.687421 12.5353
12 1.61 0.699334 15.2746
13 1.75 0.868415 19.2933
14 1.89 1.09547 25.2061
15 2.03 1.2131 32.759
16 2.17 1.11816 40.7139
17 2.31 0.972142 48.5507
18 2.45 0.891521 56.6348
19 2.59 0.915909 65.916
20 2.73 0.990279 77.0652
21 2.87 1.0498 90.1273
22 3.01 1.0551 104.567
23 3.15 1.02502 119.93
24 3.29 0.985625 136.045
25 3.43 0.961213 153.126
26 3.57 0.976125 171.917
27 3.71 1.00643 192.841
28 3.85 1.02077 215.695
29 3.99 1.0186 240.188
30 4.13 1.00226 266.009
31 4.27 0.992077 293.331
32 4.41 0.988399 322.364
33 4.55 0.991943 353.381
34 4.69 1.00441 386.75
35 4.83 1.00964 422.325
36 4.97 1.00833 459.944
37 5.11 0.998088 499.307
38 5.25 0.994868 540.723
39 5.39 0.997049 584.472
40 5.53 0.99669 630.507
41 5.67 1.00544 679.328
42 5.81 1.00282 730.455
43 5.95 1.00368 784.121
44 6.09 0.998422 840.049
45 6.23 0.997107 898.5
46 6.37 0.999871 959.776
47 6.51 1.0004 1023.81
48 6.65 1.00184 1090.72
49 6.79 1.00202 1160.5
50 6.93 1.00095 1233.1
9000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.379638 0.475293
8 1.05 2.33981 4.37373
9 1.19 1.62153 7.84258
10 1.33 0.919964 10.3002
11 1.47 0.679639 12.5181
12 1.61 0.701558 15.2638
13 1.75 0.869814 19.2854
14 1.89 1.09711 25.2018
15 2.03 1.20552 32.701
16 2.17 1.12159 40.673
17 2.31 0.970441 48.4893
18 2.45 0.897052 56.6164
19 2.59 0.91197 65.8496
20 2.73 0.988926 76.9734
21 2.87 1.04984 90.0249
22 3.01 1.05905 104.506
23 3.15 1.02308 119.826
24 3.29 0.980614 135.845
