# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.389256 0.491406
8 1.05 2.36392 4.4626
9 1.19 1.60013 7.91416
10 1.33 0.912167 10.3714
11 1.47 0.684194 12.6226
12 1.61 0.695095 15.3656
13 1.75 0.873937 19.4399
14 1.89 1.09678 25.4035
15 2.03 1.21676 33.0354
16 2.17 1.11731 41.0432
17 2.31 0.96922 48.9145
18 2.45 0.892733 57.0697
19 2.59 0.911817 66.3782
20 2.73 0.9869 77.5716
21 2.87 1.05613 90.81
22 3.01 1.06202 105.452
23 3.15 1.02383 120.912
24 3.29 0.977721 137.016
25 3.43 0.959343 154.191
26 3.57 0.979779 173.192
27 3.71 1.00574 194.256
28 3.85 1.02162 217.299
29 3.99 1.0199 242.006
30 4.13 1.00387 268.06
31 4.27 0.988058 295.472
32 4.41 0.987218 324.687
33 4.55 0.993363 355.978
34 4.69 1.00612 389.652
35 4.83 1.00971 425.494
36 4.97 1.00671 463.331
37 5.11 0.998908 503.019
38 5.25 0.996504 544.811
39 5.39 0.993785 588.741
40 5.53 0.999668 635.256
41 5.67 1.00523 684.428
42 5.81 1.00319 735.954
43 5.95 1.00007 789.825
44 6.09 1.00132 846.33
45 6.23 0.997469 905.236
46 6.37 0.998448 966.88
47 6.51 1.00219 1031.5
48 6.65 1.00172 1098.91
49 6.79 1.00029 1169.08
50 6.93 1.00011 1242.16
22000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.394826 0.498437
8 1.05 2.37177 4.48281
9 1.19 1.58804 7.9083
10 1.33 0.910028 10.3598
11 1.47 0.67894 12.5937
12 1.61 0.703633 15.3704
13 1.75 0.876158 19.4551
14 1.89 1.10062 25.4396
15 2.03 1.21785 33.0783
16 2.17 1.11488 41.0687
17 2.31 0.965203 48.9073
18 2.45 0.885196 56.9937
19 2.59 0.916772 66.3528
20 2.73 0.992394 77.6085
21 2.87 1.05612 90.8467
22 3.01 1.06277 105.499
23 3.15 1.01878 120.882
24 3.29 0.978474 136.999
25 3.43 0.961296 154.209
26 3.57 0.978158 173.179
27 3.71 1.00569 194.242
28 3.85 1.02396 217.337
29 3.99 1.01906 242.023
30 4.13 1.00326 268.062
31 4.27 0.986911 295.443
32 4.41 0.985759 324.614
33 4.55 0.99779 356.045
34 4.69 1.00629 389.725
35 4.83 1.00761 425.492
36 4.97 1.00648 463.32
37 5.11 0.998498 502.992
38 5.25 0.995661 544.748
39 5.39 0.996721 588.808
40 5.53 1.00038 635.356
41 5.67 1.00294 684.416
42 5.81 1.00192 735.876
43 5.95 1.00244 789.875
44 6.09 1.00004 846.308
45 6.23 0.997931 905.241
46 6.37 0.999027 966.921
47 6.51 1.00054 1031.44
48 6.65 1.00355 1098.96
49 6.79 1.00072 1169.16
50 6.93 1.00015 1242.25
23000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.397611 0.501953
8 1.05 2.37241 4.4874
9 1.19 1.5898 7.9167
10 1.33 0.904518 10.3533
11 1.47 0.687192 12.6144
12 1.61 0.696233 15.3619
13 1.75 0.879237 19.4609
14 1.89 1.10554 25.4722
15 2.03 1.20572 33.0349
16 2.17 1.12067 41.0667
17 2.31 0.964121 48.8966
18 2.45 0.88712 57.0006
19 2.59 0.916724 66.3592
20 2.73 0.997052 77.6677
21 2.87 1.0525 90.8605
22 3.01 1.05723 105.437
23 3.15 1.02382 120.896
24 3.29 0.978356 137.01
25 3.43 0.960113 154.199
26 3.57 0.97773 173.161
27 3.71 1.00795 194.271
28 3.85 1.02353 217.357
29 3.99 1.01981 242.061
30 4.13 1.00057 268.03
31 4.27 0.987073 295.415
32 4.41 0.987396 324.634
33 4.55 0.99881 356.098
34 4.69 1.00423 389.709
35 4.83 1.00999 425.561
36 4.97 1.00653 463.391
37 5.11 0.996558 502.985
38 5.25 0.994599 544.697
39 5.39 0.994779 588.671
40 5.53 1.00226 635.307
41 5.67 1.00462 684.45
42 5.81 1.00445 736.04
43 5.95 1.00016 789.915
44 6.09 0.999943 846.343
45 6.23 0.99696 905.219
46 6.37 0.998705 966.879
47 6.51 1.00145 1031.46
48 6.65 1.00226 1098.89
49 6.79 1.00193 1169.18
50 6.93 1.00109 1242.33
24000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.404882 0.511133
8 1.05 2.35171 4.46182
9 1.19 1.59777 7.9083
10 1.33 0.910028 10.3598
11 1.47 0.688468 12.625
12 1.61 0.696085 15.372
13 1.75 0.864951 19.4044
14 1.89 1.1124 25.4529
15 2.03 1.20847 33.0329
16 2.17 1.11856 41.0496
17 2.31 0.966839 48.9016
18 2.45 0.893909 57.0676
19 2.59 0.909645 66.3539
20 2.73 0.991946 77.6045
21 2.87 1.05637 90.8458
22 3.01 1.05852 105.44
23 3.15 1.02175 120.868
24 3.29 0.978955 136.992
25 3.43 0.963391 154.239
26 3.57 0.978918 173.224
27 3.71 1.00375 194.247
28 3.85 1.02126 217.281
29 3.99 1.01916 241.97
30 4.13 1.00403 268.029
31 4.27 0.989572 295.483
32 4.41 0.986386 324.672
33 4.55 0.995403 356.029
34 4.69 1.00594 389.696
35 4.83 1.01057 425.569
36 4.97 1.0011 463.194
37 5.11 1.00244 503.023
38 5.25 0.996471 544.813
39 5.39 0.995517 588.819
40 5.53 0.99898 635.303
41 5.67 1.0034 684.385
42 5.81 1.00276 735.889
43 5.95 1.00116 789.818
44 6.09 1.00116 846.315
45 6.23 0.99933 905.331
46 6.37 0.998949 967.005
47 6.51 0.999939 1031.48
48 6.65 1.00161 1098.88
49 6.79 1.00104 1169.1
50 6.93 1.00036 1242.2
25000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.402407 0.508008
8 1.05 2.35363 4.46191
9 1.19 1.60049 7.91426
10 1.33 0.905787 10.3543
11 1.47 0.688023 12.6181
12 1.61 0.697248 15.3696
13 1.75 0.87842 19.4648
14 1.89 1.09877 25.4393
15 2.03 1.2084 33.0187
16 2.17 1.11998 41.0456
17 2.31 0.967368 48.9019
18 2.45 0.891343 57.0444
19 2.59 0.914629 66.3816
20 2.73 0.991472 77.6269
21 2.87 1.05446 90.8443
22 3.01 1.05784 105.429
23 3.15 1.02491 120.905
24 3.29 0.974336 136.953
25 3.43 0.964596 154.222
26 3.57 0.97697 173.169
27 3.71 1.00983 194.319
28 3.85 1.0254 217.447
29 3.99 1.01278 241.981
30 4.13 1.00148 267.973
31 4.27 0.990107 295.442
32 4.41 0.987944 324.678
33 4.55 0.996277 356.062
34 4.69 1.00803 389.8
35 4.83 1.00841 425.595
36 4.97 1.00255 463.276
37 5.11 0.998488 502.947
38 5.25 0.995209 544.684
39 5.39 0.997764 588.79
40 5.53 1.00046 635.342
41 5.67 1.00401 684.455
42 5.81 1.00331 735.986
43 5.95 1.00135 789.926
44 6.09 0.997847 846.236
45 6.23 0.997532 905.146
46 6.37 1.00114 966.956
47 6.51 1.00104 1031.51
48 6.65 1.0012 1098.87
49 6.79 1.00251 1169.2
50 6.93 1.00016 1242.28
26000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.400627 0.505762
8 1.05 2.35933 4.46924
9 1.19 1.60085 7.92236
10 1.33 0.903648 10.3566
11 1.47 0.686004 12.6138
12 1.61 0.696852 15.3638
13 1.75 0.878483 19.4593
14 1.89 1.10346 25.4592
15 2.03 1.20938 33.0448
16 2.17 1.12226 41.0881
17 2.31 0.96067 48.8899
18 2.45 0.889269 57.0136
19 2.59 0.91417 66.3461
20 2.73 0.992092 77.5983
21 2.87 1.0582 90.8626
22 3.01 1.06249 105.511
23 3.15 1.01928 120.902
24 3.29 0.976144 136.98
25 3.43 0.960505 154.176
26 3.57 0.981169 173.204
27 3.71 1.00699 194.295
28 3.85 1.0236 217.382
29 3.99 1.01748 242.03
30 4.13 1.00127 268.017
31 4.27 0.990589 295.5
32 4.41 0.986825 324.702
33 4.55 0.994275 356.023
34 4.69 1.00592 389.69
35 4.83 1.01102 425.578
36 4.97 1.00589 463.384
37 5.11 0.995543 502.939
38 5.25 0.997044 544.753
39 5.39 0.995897 588.776
40 5.53 1.00037 635.324
41 5.67 1.00296 684.385
42 5.81 1.00414 735.96
43 5.95 1.00184 789.925
44 6.09 0.997899 846.238
45 6.23 1.00025 905.309
46 6.37 0.997886 966.918
47 6.51 0.999665 1031.38
48 6.65 1.00263 1098.84
49 6.79 1.00318 1169.21
50 6.93 0.999693 1242.26
27000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.392428 0.49541
8 1.05 2.36636 4.4707
9 1.19 1.61285 7.94971
10 1.33 0.89821 10.3693
11 1.47 0.683333 12.6177
12 1.61 0.696803 15.3675
13 1.75 0.868177 19.4149
14 1.89 1.10378 25.4166
15 2.03 1.21901 33.0627
16 2.17 1.11855 41.0793
17 2.31 0.963977 48.908
18 2.45 0.887559 57.016
19 2.59 0.914007 66.3469
20 2.73 0.990809 77.5846
21 2.87 1.05774 90.8431
22 3.01 1.06093 105.47
23 3.15 1.02093 120.886
24 3.29 0.978575 137.004
25 3.43 0.960871 154.206
26 3.57 0.977075 173.155
27 3.71 1.00903 194.289
28 3.85 1.0232 217.367
29 3.99 1.0175 242.015
30 4.13 1.00159 268.01
31 4.27 0.989512 295.463
32 4.41 0.986838 324.666
33 4.55 0.996135 356.045
34 4.69 1.00844 389.797
35 4.83 1.00665 425.53
36 4.97 1.00407 463.267
37 5.11 1.00013 503.004
38 5.25 0.995959 544.773
39 5.39 0.996308 588.814
40 5.53 1.00026 635.357
41 5.67 1.00201 684.372
42 5.81 1.00333 735.905
43 5.95 1.00244 789.903
44 6.09 0.999104 846.284
45 6.23 0.999892 905.333
46 6.37 0.99765 966.928
47 6.51 1.00162 1031.51
48 6.65 0.999674 1098.78
49 6.79 1.00299 1169.14
50 6.93 1.00088 1242.27
28000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.40581 0.512305
8 1.05 2.34991 4.45996
9 1.19 1.61122 7.93545
10 1.33 0.906403 10.3771
11 1.47 0.680187 12.6151
12 1.61 0.69559 15.3602
13 1.75 0.870691 19.4193
14 1.89 1.1043 25.4238
15 2.03 1.2202 33.0773
16 2.17 1.11987 41.1034
17 2.31 0.957207 48.8771
18 2.45 0.895384 57.0566
19 2.59 0.908832 66.3347
20 2.73 0.994779 77.6174
21 2.87 1.05272 90.813
22 3.01 1.06416 105.485
23 3.15 1.02185 120.914
24 3.29 0.977022 137.007
25 3.43 0.960827 154.208
26 3.57 0.977866 173.172
27 3.71 1.00495 194.221
28 3.85 1.02545 217.349
29 3.99 1.01962 242.049
30 4.13 1.00134 268.038
31 4.27 0.988917 295.474
32 4.41 0.988142 324.716
33 4.55 0.99495 356.058
34 4.69 1.00299 389.627
35 4.83 1.01103 425.515
36 4.97 1.00518 463.294
37 5.11 1.00144 503.083
38 5.25 0.994774 544.802
39 5.39 0.996701 588.861
40 5.53 0.997366 635.269
41 5.67 1.00236 684.301
42 5.81 1.0045 735.894
43 5.95 1.00376 789.963
44 6.09 0.998377 846.303
45 6.23 0.9993 905.317
46 6.37 0.998783 966.982
47 6.51 0.999091 1031.41
48 6.65 1.00101 1098.76
49 6.79 1.00278 1169.1
50 6.93 1.00179 1242.31
29000 50
1 0.07 0 0
2 0.21 0 0
3 0.35 0 0
4 0.49 0 0
5 0.63 0 0
6 0.77 0 0
7 0.91 0.397688 0.502051
8 1.05 2.35014 4.4501
9 1.19 1.60398 7.90996
10 1.33 0.91833 10.3838
11 1.47 0.686182 12.6415
12 1.61 0.693388 15.3778
13 1.75 0.865307 19.4119
14 1.89 1.1025 25.4066
15 2.03 1.21522 33.0289
16 2.17 1.12781 41.1119
17 2.31 0.965059 48.9494
18 2.45 0.887153 57.0537
19 2.59 0.911157 66.3555
20 2.73 0.987184 77.5521
21 2.87 1.05898 90.8262
22 3.01 1.06374 105.492
23 3.15 1.02476 120.966
24 3.29 0.978184 137.077
25 3.43 0.957543 154.22
