# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0.0219326 0.00537109
12 0.92 0.526774 0.169629
13 1 1.24952 0.666309
14 1.08 1.44854 1.3373
15 1.16 1.32867 2.03691
16 1.24 1.17234 2.72852
17 1.32 1.082 3.44258
18 1.4 1.01568 4.18105
19 1.48 0.94407 4.93994
20 1.56 0.929412 5.76172
21 1.64 0.886442 6.63232
22 1.72 0.903632 7.61973
23 1.8 0.936942 8.73916
24 1.88 0.951914 9.98389
25 1.96 0.982437 11.3791
26 2.04 1.01544 12.9561
27 2.12 1.02854 14.6552
28 2.2 1.01479 16.4578
29 2.28 1.01219 18.3917
30 2.36 1.01643 20.4613
31 2.44 0.997992 22.6325
32 2.52 0.987728 24.9132
33 2.6 0.982259 27.3435
34 2.68 1.00348 29.9477
35 2.76 0.98885 32.6942
36 2.84 0.993533 35.6205
37 2.92 0.996547 38.727
38 3 0.999966 42.0133
39 3.08 0.997341 45.4838
40 3.16 1.01339 49.1622
41 3.24 1.00013 52.9937
42 3.32 1.00467 57.0328
43 3.4 1.00246 61.262
44 3.48 0.987014 65.6337
45 3.56 1.00171 70.2585
46 3.64 0.994614 75.0736
47 3.72 0.982651 80.0569
48 3.8 0.994151 85.3052
49 3.88 1.00193 90.7995
50 3.96 1.00151 96.5439
2000 50
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0.00209327 0.00107422
12 0.92 0.366225 0.244434
13 1 1.81905 1.69629
14 1.08 2.24039 3.78574
15 1.16 1.76873 5.68174
16 1.24 1.29562 7.2627
17 1.32 1.00052 8.64131
18 1.4 0.841716 9.94375
19 1.48 0.761586 11.2621
20 1.56 0.73649 12.6778
21 1.64 0.763655 14.3019
22 1.72 0.830207 16.2494
23 1.8 0.923948 18.6277
24 1.88 1.03402 21.5374
25 1.96 1.11415 24.9479
26 2.04 1.16076 28.7956
27 2.12 1.14529 32.8905
28 2.2 1.09091 37.0842
29 2.28 1.01461 41.2704
30 2.36 0.959529 45.5051
31 2.44 0.939204 49.9357
32 2.52 0.928097 54.6056
33 2.6 0.935998 59.6224
34 2.68 0.961719 65.107
35 2.76 0.986602 71.0762
36 2.84 1.01914 77.6073
37 2.92 1.03497 84.6246
38 3 1.04425 92.0941
39 3.08 1.03598 99.9084
40 3.16 1.01768 107.981
41 3.24 0.998508 116.298
42 3.32 0.990743 124.961
43 3.4 0.981301 133.962
44 3.48 0.978675 143.365
45 3.56 0.984731 153.268
46 3.64 0.992422 163.709
47 3.72 1.00103 174.713
48 3.8 1.00642 186.255
49 3.88 1.01255 198.366
50 3.96 1.00773 210.92
3000 50
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0.000474733 0.000292969
12 0.92 0.300553 0.219629
13 1 1.95499 1.90625
14 1.08 2.46301 4.38516
15 1.16 1.84913 6.53164
16 1.24 1.28443 8.23486
17 1.32 0.936059 9.64141
18 1.4 0.764764 10.934
19 1.48 0.673503 12.2057
20 1.56 0.660852 13.5922
21 1.64 0.716407 15.2536
22 1.72 0.814464 17.3313
23 1.8 0.953282 19.995
24 1.88 1.07937 23.2854
25 1.96 1.19055 27.2305
26 2.04 1.21699 31.5981
27 2.12 1.18047 36.1736
28 2.2 1.09491 40.7431
29 2.28 0.995852 45.2069
30 2.36 0.920817 49.6288
31 2.44 0.890923 54.2017
32 2.52 0.886459 59.0555
33 2.6 0.914042 64.3829
34 2.68 0.960811 70.3334
35 2.76 1.00471 76.933
36 2.84 1.04652 84.2124
37 2.92 1.06915 92.0741
38 3 1.06445 100.335
39 3.08 1.04413 108.876
40 3.16 1.02336 117.687
41 3.24 0.987062 126.621
42 3.32 0.973829 135.876
43 3.4 0.963592 145.48
44 3.48 0.963113 155.536
45 3.56 0.97465 166.187
46 3.64 0.990658 177.505
47 3.72 1.00904 189.546
48 3.8 1.01871 202.231
49 3.88 1.02337 215.515
50 3.96 1.02019 229.31
4000 50
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0.000972729 0.000585937
12 0.92 0.303193 0.221582
13 1 1.931 1.88496
14 1.08 2.46567 4.36201
15 1.16 1.8634 6.52139
16 1.24 1.27419 8.20859
17 1.32 0.943962 9.6248
18 1.4 0.76097 10.9091
19 1.48 0.675655 12.1833
20 1.56 0.670559 13.5884
21 1.64 0.717479 15.2498
