# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 20
12 5.75 0.902322 21.8727
13 6.25 1.32448 30.7773
14 6.75 1.18114 40.0391
15 7.25 0.992037 49.0125
16 7.75 0.90358 58.3516
17 8.25 0.929952 69.243
18 8.75 0.895052 81.0344
19 9.25 0.986766 95.5617
20 9.75 1.20858 115.33
32000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.110785 0.096875
6 2.75 0.639614 0.93125
7 3.25 1.39595 3.47266
8 3.75 1.70978 7.61484
9 4.25 1.13443 11.1438
10 4.75 0.653586 13.6828
11 5.25 0.658927 16.8094
12 5.75 0.914814 22.0156
13 6.25 1.29636 30.7312
14 6.75 1.16441 39.8617
15 7.25 1.01156 49.0117
16 7.75 0.901236 58.3266
17 8.25 0.927083 69.1844
18 8.75 0.908218 81.1492
19 9.25 0.988199 95.6977
20 9.75 1.19783 115.29
33000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.141161 0.123438
6 2.75 0.642609 0.961719
7 3.25 1.38693 3.48672
8 3.75 1.67044 7.53359
9 4.25 1.14799 11.1047
10 4.75 0.664043 13.6844
11 5.25 0.661397 16.8227
12 5.75 0.933484 22.1352
13 6.25 1.27521 30.7086
14 6.75 1.14826 39.7125
15 7.25 1.02106 48.9484
16 7.75 0.905772 58.3102
17 8.25 0.925549 69.15
18 8.75 0.914148 81.193
19 9.25 0.995416 95.8477
20 9.75 1.18599 115.246
34000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0 0
5 2.25 0.160817 0.140625
6 2.75 0.659378 1.00078
7 3.25 1.37964 3.5125
8 3.75 1.62916 7.45937
9 4.25 1.15653 11.057
10 4.75 0.680332 13.7
11 5.25 0.665678 16.8586
12 5.75 0.941034 22.2141
13 6.25 1.26463 30.7164
14 6.75 1.12694 39.5531
15 7.25 1.03229 48.8906
16 7.75 0.909929 58.2953
17 8.25 0.92228 69.0969
18 8.75 0.924644 81.2781
19 9.25 0.995946 95.9406
20 9.75 1.17729 115.197
35000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.0117836 0.00625
5 2.25 0.172431 0.157031
6 2.75 0.671356 1.03281
7 3.25 1.36591 3.51953
8 3.75 1.59627 7.38672
9 4.25 1.15528 10.9805
10 4.75 0.703459 13.7133
11 5.25 0.674898 16.9156
12 5.75 0.93925 22.2609
13 6.25 1.25429 30.6938
14 6.75 1.11628 39.4469
15 7.25 1.04317 48.8828
16 7.75 0.908493 58.2727
17 8.25 0.92755 69.1359
18 8.75 0.924822 81.3195
19 9.25 0.996636 95.9922
20 9.75 1.17151 115.154
36000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.0147295 0.0078125
5 2.25 0.193873 0.177344
6 2.75 0.686927 1.07344
7 3.25 1.3496 3.53047
8 3.75 1.55596 7.3
9 4.25 1.16482 10.9234
10 4.75 0.717335 13.7102
11 5.25 0.690046 16.9844
12 5.75 0.945152 22.3633
13 6.25 1.23674 30.6781
14 6.75 1.11309 39.4062
15 7.25 1.04783 48.8844
16 7.75 0.911668 58.307
17 8.25 0.926483 69.1578
18 8.75 0.932057 81.4367
19 9.25 0.996477 96.107
20 9.75 1.16397 115.145
37000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.0206212 0.0109375
5 2.25 0.216209 0.2
6 2.75 0.716272 1.13437
7 3.25 1.326 3.54844
8 3.75 1.52436 7.24141
9 4.25 1.16005 10.85
10 4.75 0.736038 13.7094
11 5.25 0.700913 17.0352
12 5.75 0.946251 22.4203
13 6.25 1.22303 30.643
14 6.75 1.10911 39.3398
15 7.25 1.0506 48.843
16 7.75 0.912045 58.2695
17 8.25 0.932953 69.1961
18 8.75 0.938462 81.5594
19 9.25 0.996742 96.2336
20 9.75 1.15561 115.135
38000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.0294589 0.015625
5 2.25 0.248372 0.232813
6 2.75 0.751008 1.2125
7 3.25 1.29296 3.56641
8 3.75 1.48566 7.16563
9 4.25 1.15026 10.7438
10 4.75 0.764796 13.7148
11 5.25 0.717707 17.1203
12 5.75 0.938151 22.4594
13 6.25 1.20769 30.5789
14 6.75 1.10662 39.2563
15 7.25 1.04032 48.6664
16 7.75 0.928977 58.268
17 8.25 0.931219 69.1742
18 8.75 0.949196 81.6789
19 9.25 0.996796 96.3539
20 9.75 1.1484 115.138
39000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.0368236 0.0195312
5 2.25 0.270708 0.25625
6 2.75 0.790535 1.2875
7 3.25 1.2582 3.57812
8 3.75 1.4618 7.11953
9 4.25 1.13293 10.6438
10 4.75 0.792146 13.7211
11 5.25 0.721329 17.1438
12 5.75 0.956272 22.5859
13 6.25 1.18503 30.5531
14 6.75 1.10732 39.2359
15 7.25 1.03168 48.568
16 7.75 0.940013 58.2836
17 8.25 0.927283 69.1437
18 8.75 0.953406 81.7039
19 9.25 1.00136 96.4461
20 9.75 1.14085 115.106
40000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.0441884 0.0234375
5 2.25 0.301978 0.2875
6 2.75 0.773766 1.29688
7 3.25 1.2612 3.59297
8 3.75 1.43407 7.06719
9 4.25 1.12866 10.5781
10 4.75 0.824322 13.7805
11 5.25 0.716719 17.1812
12 5.75 0.959155 22.6398
13 6.25 1.17516 30.5406
14 6.75 1.09646 39.1383
15 7.25 1.03738 48.5219
16 7.75 0.942356 58.2617
17 8.25 0.935822 69.2219
18 8.75 0.940953 81.618
19 9.25 1.01744 96.5969
20 9.75 1.13144 115.103
41000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.0692284 0.0367188
5 2.25 0.352903 0.345313
6 2.75 0.757596 1.33359
7 3.25 1.25262 3.61406
8 3.75 1.41052 7.03125
9 4.25 1.12514 10.5312
10 4.75 0.828948 13.7516
11 5.25 0.731538 17.2227
12 5.75 0.958331 22.6766
13 6.25 1.16412 30.5031
14 6.75 1.09197 39.0656
15 7.25 1.0398 48.4711
16 7.75 0.950066 58.2906
17 8.25 0.936622 69.2602
18 8.75 0.937869 81.6156
19 9.25 1.01834 96.6078
20 9.75 1.13746 115.213
42000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.0854308 0.0453125
5 2.25 0.386853 0.383594
6 2.75 0.76598 1.38281
7 3.25 1.2376 3.63594
8 3.75 1.38279 6.98594
9 4.25 1.12414 10.4828
10 4.75 0.843025 13.7578
11 5.25 0.743393 17.2852
12 5.75 0.952154 22.7039
13 6.25 1.15343 30.4586
14 6.75 1.08779 38.9883
15 7.25 1.04792 48.4672
16 7.75 0.949159 58.2773
17 8.25 0.937022 69.2516
18 8.75 0.93775 81.6055
19 9.25 1.02296 96.6656
20 9.75 1.1355 115.238
43000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.0898497 0.0476562
5 2.25 0.41455 0.410156
6 2.75 0.759392 1.40078
7 3.25 1.22987 3.63984
8 3.75 1.36054 6.93594
9 4.25 1.12213 10.4266
10 4.75 0.866353 13.7922
11 5.25 0.750802 17.3547
12 5.75 0.951055 22.7672
13 6.25 1.13681 30.4102
14 6.75 1.0849 38.9172
15 7.25 1.05163 48.4297
16 7.75 0.947874 58.2266
17 8.25 0.940491 69.2414
18 8.75 0.943918 81.6766
19 9.25 1.02009 96.6945
20 9.75 1.13077 115.19
44000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.119309 0.0632812
5 2.25 0.424377 0.434375
6 2.75 0.756997 1.42188
7 3.25 1.21829 3.63984
8 3.75 1.34958 6.90937
9 4.25 1.12263 10.4016
10 4.75 0.883044 13.832
11 5.25 0.758046 17.4289
12 5.75 0.951742 22.8453
13 6.25 1.11996 30.375
14 6.75 1.07633 38.8148
15 7.25 1.05863 48.3906
16 7.75 0.953846 58.2492
17 8.25 0.939957 69.2578
18 8.75 0.9454 81.7125
19 9.25 1.02105 96.7445
20 9.75 1.1258 115.159
45000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0 0
4 1.75 0.156132 0.0828125
5 2.25 0.429738 0.458594
6 2.75 0.752805 1.44063
7 3.25 1.20928 3.64219
8 3.75 1.337 6.88125
9 4.25 1.12564 10.3828
10 4.75 0.895111 13.8602
11 5.25 0.764797 17.4891
12 5.75 0.950644 22.8992
13 6.25 1.11496 30.3953
14 6.75 1.07035 38.7883
15 7.25 1.06364 48.4094
16 7.75 0.949159 58.2195
17 8.25 0.939491 69.2227
18 8.75 0.952101 81.7656
19 9.25 1.02354 96.8344
20 9.75 1.11959 115.147
46000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.0286837 0.0078125
4 1.75 0.169389 0.0976562
5 2.25 0.432418 0.475781
6 2.75 0.790535 1.50703
7 3.25 1.17323 3.64297
8 3.75 1.33539 6.87812
9 4.25 1.11158 10.3359
10 4.75 0.906976 13.8594
11 5.25 0.77517 17.5375
12 5.75 0.961077 23.007
13 6.25 1.09881 30.3945
14 6.75 1.06846 38.7727
15 7.25 1.06364 48.3937
16 7.75 0.952258 58.2359
17 8.25 0.939024 69.2336
18 8.75 0.962895 81.9188
19 9.25 1.01691 96.8898
20 9.75 1.1162 115.147
47000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.0286837 0.0078125
4 1.75 0.210631 0.119531
5 2.25 0.444926 0.508594
6 2.75 0.779755 1.52578
7 3.25 1.16594 3.64844
8 3.75 1.31539 6.83516
9 4.25 1.1156 10.3055
10 4.75 0.898529 13.7961
11 5.25 0.80102 17.5969
12 5.75 0.963548 23.0805
13 6.25 1.08847 30.3984
