# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 20
15 3.48 0.106102 2.375 0.180291 5.9875 1.33353 9.55625
16 3.72 0 2.375 0.195872 6.2125 1.29766 12.5375
17 3.96 0 2.375 1.40206 8.0375 0.523372 13.9
18 4.2 0 2.375 1.67331 10.4875 0.63176 15.75
19 4.44 0.0325953 2.4 0.802149 11.8 1.99773 22.2875
20 4.68 0.601441 2.9125 0.653242 12.9875 2.58031 31.6687
50700 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.14901 0.61875
9 2.04 0 0 0 0 4.70928 3.875
10 2.28 0.0617626 0.0125 0 0 1.96145 5.56875
11 2.52 1.82041 0.4625 0.355549 0.1875 0.385178 5.975
12 2.76 2.95123 1.3375 2.6482 1.8625 0.0197627 6
13 3 1.64165 1.9125 3.50467 4.48125 0.066915 6.1
14 3.24 0.795575 2.2375 1.48453 5.775 0.476914 6.93125
15 3.48 0.238731 2.35 0.22381 6 1.19054 9.325
16 3.72 0.046429 2.375 0.125141 6.14375 1.36839 12.4688
17 3.96 0 2.375 1.34444 7.89375 0.535376 13.8625
18 4.2 0 2.375 1.88248 10.65 0.644566 15.75
19 4.44 0.0162976 2.3875 0.714295 11.8187 2.0302 22.3938
20 4.68 0.528095 2.8375 0.591356 12.8938 2.41528 31.175
50800 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.25347 0.675
9 2.04 0 0 0 0 4.59177 3.85
10 2.28 0 0 0.0289512 0.0125 2.01211 5.5875
11 2.52 1.66871 0.4125 0.462214 0.25625 0.32592 5.93125
12 2.76 3.33067 1.4 2.54938 1.86875 0.059288 6.00625
13 3 1.60596 1.9625 3.46285 4.45625 0.0418219 6.06875
14 3.24 0.734377 2.2625 1.51322 5.775 0.555803 7.0375
15 3.48 0.238731 2.375 0.22381 6 1.23095 9.5125
16 3.72 0 2.375 0.184991 6.2125 1.21332 12.3
17 3.96 0 2.375 1.30603 7.9125 0.597797 13.8562
18 4.2 0 2.375 1.85259 10.625 0.721402 15.9688
19 4.44 0.0325953 2.4 0.676097 11.7312 1.96336 22.3938
20 4.68 0.557433 2.875 0.65668 12.925 2.42903 31.225
50900 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.10259 0.59375
9 2.04 0 0 0 0 4.81774 3.925
10 2.28 0 0 0 0 1.91078 5.575
11 2.52 1.46644 0.3625 0.533323 0.28125 0.331846 5.925
12 2.76 3.49931 1.4 2.43081 1.81875 0.059288 6
13 3 1.60596 1.9625 3.56322 4.48125 0.0418219 6.0625
14 3.24 0.734377 2.2625 1.53473 5.81875 0.516359 6.9625
15 3.48 0.238731 2.375 0.180291 6 1.2465 9.46875
16 3.72 0 2.375 0.163227 6.1875 1.27317 12.3938
17 3.96 0 2.375 1.39246 8 0.556983 13.8438
18 4.2 0 2.375 1.80564 10.6438 0.663775 15.7875
19 4.44 0 2.375 0.741033 11.8562 2.03211 22.4375
20 4.68 0.557433 2.85 0.591356 12.9313 2.44966 31.3438
51000 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.16062 0.625
9 2.04 0 0 0 0 5.14314 4.18125
10 2.28 0 0 0 0 1.62851 5.5875
11 2.52 1.36531 0.3375 0.225181 0.11875 0.308142 5.9125
12 2.76 3.87875 1.4875 2.4901 1.69375 0.07411 6.00625
13 3 1.39183 1.975 3.88943 4.6 0.0710972 6.1125
14 3.24 0.642579 2.2375 1.44867 5.8625 0.43747 6.875
15 3.48 0.291782 2.375 0.136773 6 1.29312 9.475
16 3.72 0 2.375 0.190432 6.21875 1.26229 12.375
17 3.96 0 2.375 1.33004 7.95 0.540178 13.7812
18 4.2 0 2.375 1.84406 10.65 0.691521 15.8063
19 4.44 0.0325953 2.4 0.737213 11.8562 2.01874 22.4125
20 4.68 0.484087 2.8125 0.587918 12.925 2.42043 31.2125
51100 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.16062 0.625
9 2.04 0 0 0 0 4.70024 3.875
10 2.28 0.123525 0.025 0.0144756 0.00625 1.93249 5.54375
11 2.52 1.31474 0.35 0.72295 0.3875 0.402955 5.96875
12 2.76 3.66795 1.4375 2.50986 1.975 0.0247033 6
13 3 1.71302 2.0375 3.52976 4.6125 0.0752793 6.1125
14 3.24 0.703778 2.325 1.36261 5.8 0.4554 6.90625
15 3.48 0.106102 2.375 0.198942 6 1.22785 9.375
16 3.72 0 2.375 0.157786 6.18125 1.3439 12.4625
17 3.96 0 2.375 1.25801 7.81875 0.566586 13.9375
18 4.2 0.0182129 2.3875 1.85686 10.5375 0.693656 15.9688
19 4.44 0.0977858 2.4625 0.798329 11.8438 1.85258 22.0312
20 4.68 0.498756 2.8875 0.587918 12.9125 2.54249 31.275
51200 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.29989 0.7
9 2.04 0 0 0 0 4.76351 3.99375
10 2.28 0 0 0 0 1.85288 5.59375
11 2.52 1.76984 0.4375 0.557027 0.29375 0.355549 5.96875
12 2.76 2.8669 1.2875 2.57903 1.925 0.0247033 6
13 3 1.64165 1.8625 3.33738 4.41875 0.0250931 6.0375
14 3.24 0.979169 2.2625 1.55625 5.775 0.426713 6.78125
15 3.48 0.238731 2.375 0.230027 6.00625 1.34597 9.4875
16 3.72 0 2.375 0.217636 6.25625 1.22964 12.3125
17 3.96 0 2.375 1.47889 8.18125 0.619404 13.925
18 4.2 0 2.375 1.71173 10.6875 0.732074 16.0688
19 4.44 0.0651905 2.425 0.695196 11.825 1.96336 22.4937
20 4.68 0.586772 2.925 0.697938 13.0938 2.417 31.2812
51300 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.21865 0.65625
9 2.04 0 0 0 0 4.62793 3.85625
10 2.28 0.0617626 0.0125 0 0 1.92526 5.51875
11 2.52 1.61814 0.4125 0.331846 0.175 0.402955 5.94375
12 2.76 3.96307 1.5875 2.34188 1.65625 0.044466 6
13 3 1.35614 2.0625 3.6385 4.375 0.0585506 6.0875
14 3.24 0.581381 2.3 1.71402 5.86875 0.505601 6.96875
15 3.48 0.159154 2.375 0.130556 6 1.17189 9.325
16 3.72 0 2.375 0.163227 6.1875 1.21604 12.1188
17 3.96 0 2.375 1.37805 7.98125 0.657816 13.8313
18 4.2 0 2.375 1.72027 10.5 0.66591 15.7812
19 4.44 0.0651905 2.425 0.763951 11.75 2.07031 22.5562
20 4.68 0.63078 2.9625 0.715128 13.05 2.44966 31.4625
51400 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.32311 0.7125
9 2.04 0 0 0 0 4.42907 3.775
10 2.28 0 0 0 0 1.87459 5.39375
11 2.52 1.26417 0.3125 0.616285 0.325 0.503694 5.925
12 2.76 3.49931 1.35 2.51974 1.91875 0.059288 6
13 3 1.89146 2.0125 3.55486 4.575 0.0543684 6.08125
14 3.24 0.428386 2.1875 1.45584 5.84375 0.43747 6.84375
15 3.48 0.371359 2.3625 0.155424 6 1.29312 9.44375
16 3.72 0.0232145 2.375 0.17955 6.20625 1.29221 12.4125
17 3.96 0 2.375 1.32524 7.93125 0.566586 13.8875
18 4.2 0.0182129 2.3875 1.75015 10.4938 0.674447 15.8625
19 4.44 0.179274 2.525 0.805969 11.8125 1.97481 22.325
20 4.68 0.718795 3.1375 0.553537 12.8187 2.44278 31.2063
51500 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.3115 0.70625
9 2.04 0 0 0 0 4.66408 3.93125
10 2.28 0.185288 0.0375 0.0144756 0.00625 1.88907 5.5625
11 2.52 1.46644 0.4 0.58073 0.3125 0.39703 5.98125
12 2.76 3.41499 1.4125 2.8063 2.0875 0.014822 6
13 3 1.24908 1.85 3.45449 4.66875 0.0543684 6.08125
14 3.24 1.19336 2.3375 1.35544 5.85 0.516359 6.98125
15 3.48 0.0795769 2.375 0.149207 6 1.20298 9.4
16 3.72 0 2.375 0.223077 6.25625 1.28133 12.3438
17 3.96 0 2.375 1.39246 8.06875 0.588193 13.875
18 4.2 0.0364258 2.4 1.74161 10.6188 0.723536 15.9938
19 4.44 0.179274 2.5375 0.687556 11.7438 1.94808 22.3687
20 4.68 0.42541 2.9 0.577603 12.7937 2.45825 31.3062
51600 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.05616 0.56875
9 2.04 0 0 0 0 4.93525 3.98125
10 2.28 0.308813 0.0625 0 0 1.75879 5.5
11 2.52 1.82041 0.5125 0.379252 0.2 0.444436 5.96875
12 2.76 3.41499 1.525 2.70749 1.9125 0.014822 5.9875
13 3 1.57027 2.075 3.29556 4.375 0.0627328 6.08125
14 3.24 0.673178 2.35 1.56342 5.7375 0.494844 6.94375
15 3.48 0.0530512 2.375 0.236244 5.975 1.29312 9.54375
16 3.72 0 2.375 0.17955 6.18125 1.21332 12.3313
17 3.96 0 2.375 1.32043 7.9 0.566586 13.8063
18 4.2 0 2.375 1.7288 10.4313 0.708596 15.8812
19 4.44 0.114083 2.4625 0.878544 11.8688 1.98627 22.3813
20 4.68 0.601441 2.975 0.632613 13.0188 2.43934 31.25
51700 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 0.986526 0.53125
9 2.04 0 0 0 0 4.98948 3.98125
10 2.28 0 0 0 0 1.75155 5.49375
11 2.52 1.51701 0.375 0.557027 0.29375 0.450362 5.96875
12 2.76 3.71011 1.475 2.23318 1.70625 0.0197627 5.99375
13 3 1.57027 2.025 3.48794 4.3125 0.0836437 6.11875
14 3.24 0.795575 2.35 1.65665 5.75625 0.405198 6.825
15 3.48 0.0530512 2.375 0.236244 5.99375 1.22163 9.28125
16 3.72 0 2.375 0.141463 6.15625 1.35751 12.4
17 3.96 0 2.375 1.37325 7.94375 0.523372 13.7625
18 4.2 0 2.375 1.76295 10.525 0.689387 15.7812
19 4.44 0.0162976 2.3875 0.77923 11.8 2.0493 22.4875
20 4.68 0.572102 2.875 0.515717 12.7375 2.45653 31.4187
51800 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.27668 0.6875
9 2.04 0 0 0 0 4.89005 4.06875
10 2.28 0.123525 0.025 0.0579024 0.025 1.80945 5.63125
11 2.52 1.56758 0.4125 0.616285 0.35 0.290365 5.9375
12 2.76 2.74042 1.225 2.84582 2.15 0.0494067 6
13 3 1.39183 1.7125 3.35411 4.65625 0.0501862 6.075
14 3.24 1.40756 2.2875 1.29807 5.7875 0.41237 6.79375
15 3.48 0.159154 2.3625 0.186508 5.975 1.3211 9.45
16 3.72 0.0232145 2.375 0.212195 6.21875 1.25141 12.325
17 3.96 0 2.375 1.49809 8.16875 0.597797 13.8812
18 4.2 0 2.375 1.65624 10.5938 0.657372 15.8063
19 4.44 0.0325953 2.4 0.760132 11.8375 1.99773 22.3438
20 4.68 0.440079 2.775 0.556975 12.85 2.51154 31.475
51900 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.14901 0.61875
9 2.04 0 0 0 0 5.00756 4.08125
10 2.28 0 0 0.0289512 0.0125 1.72984 5.575
11 2.52 1.71928 0.425 0.663691 0.3625 0.385178 5.98125
12 2.76 3.07771 1.3375 2.67784 2.05625 0.0197627 6.00625
13 3 1.32046 1.8 3.47121 4.65 0.0794615 6.125
14 3.24 1.25456 2.3125 1.38413 5.85625 0.451814 6.9125
15 3.48 0.106102 2.3625 0.14299 6 1.24961 9.425
16 3.72 0.0232145 2.375 0.157786 6.18125 1.26501 12.3313
17 3.96 0 2.375 1.36845 7.9625 0.595396 13.8812
18 4.2 0 2.375 1.80137 10.6 0.708596 15.9563
19 4.44 0.0488929 2.4125 0.767771 11.8562 1.94426 22.3188
20 4.68 0.704126 3.0125 0.47446 12.7188 2.45997 31.2625
52000 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.02134 0.55
9 2.04 0 0 0 0 4.67312 3.78125
10 2.28 0.123525 0.025 0 0 2.01211 5.51875
11 2.52 1.56758 0.4125 0.367401 0.19375 0.402955 5.94375
12 2.76 3.66795 1.5 2.35176 1.68125 0.044466 6
13 3 1.57027 2.05 3.54649 4.33125 0.0334575 6.05
14 3.24 0.642579 2.3125 1.76422 5.86875 0.405198 6.75625
