DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (42.08 42.08 42.08)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.031 seconds
2048 atoms in group Ar
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 31 31 31
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.662 | 3.662 | 3.662 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
      6300   1.5393818      5.2460773      2425.7354     -2.5505252      238.12872      0.48574411   
      6400   1.4819482      4.9801781      2440.4203     -2.6388312      238.05588      0.47440838   
      6500   1.4692604      5.0884749      2430.8878     -2.6583443      238.40459      0.46356737   
      6600   1.4808504      5.0704401      2424.2842     -2.6701925      238.84849      0.45318225   
      6700   1.4603585      5.1230941      2424.3671     -2.6820011      239.447        0.44332415   
      6800   1.4506556      4.8552461      2441.1203     -2.716175       239.90369      0.43406347   
      6900   1.4857638      4.8526938      2434.6312     -2.6746208      240.05455      0.4251912    
      7000   1.5091202      5.2635131      2422.2482     -2.6016097      240.44296      0.41652357   
      7100   1.4823913      5.1469115      2437.8085     -2.5957342      240.58898      0.40817508   
      7200   1.5413244      4.9160396      2441.7618     -2.5719406      240.83416      0.40015007   
      7300   1.4771721      4.8897569      2460.1777     -2.5900385      240.99047      0.39238532   
      7400   1.4851883      4.5634158      2473.8851     -2.6072437      241.27645      0.38507661   
      7500   1.5295774      4.8868366      2451.0559     -2.5606024      241.78301      0.37800803   
      7600   1.516253       5.1730753      2438.6499     -2.5523062      242.23771      0.37113094   
      7700   1.5219543      5.1682283      2432.9299     -2.572404       242.56061      0.36450919   
      7800   1.4724151      5.2047934      2440.5524     -2.6215395      242.70611      0.35810884   
      7900   1.4880394      5.0533119      2436.0878     -2.6340467      243.06478      0.35200223   
      8000   1.4889935      5.1694217      2431.029      -2.6292088      243.22547      0.34598697   
      8100   1.4819069      5.2636155      2430.3845     -2.6181801      243.60595      0.34023654   
      8200   1.49204        4.976796       2440.6709     -2.6270025      243.73939      0.33467327   
      8300   1.5073528      4.9760047      2439.4111     -2.6023172      244.09477      0.32932355   
      8400   1.4866161      5.1188504      2440.8669     -2.5912421      244.21783      0.32412629   
      8500   1.4683979      4.9940549      2450.8223     -2.6072162      244.4809       0.31907784   
      8600   1.5006395      5.090671       2444.3597     -2.5781328      245.25003      0.3142476    
      8700   1.5306851      5.2737607      2433.3986     -2.5387142      245.6466       0.30960011   
      8800   1.5232755      4.951864       2446.553      -2.5660611      245.80149      0.30506859   
      8900   1.5058414      4.7253915      2456.2055     -2.5905006      246.02354      0.30074137   
      9000   1.4855769      4.6887993      2460.8485     -2.6133058      246.38618      0.29659903   
      9100   1.4941903      5.0073381      2445.1261     -2.5976653      246.90317      0.29258652   
      9200   1.4903233      5.0313393      2441.565      -2.6094593      247.1315       0.28868575   
      9300   1.514256       4.8502108      2440.0171     -2.6208777      247.40556      0.28487367   
      9400   1.4822008      4.9561049      2441.9556     -2.6370647      247.62615      0.28117769   
      9500   1.4666935      4.915598       2443.3361     -2.6437558      247.67542      0.27755609   
      9600   1.4734584      4.8661917      2445.7851     -2.6539951      247.55335      0.27402572   
      9700   1.5259859      4.8927341      2432.4123     -2.6224937      248.13636      0.27051585   
      9800   1.4932938      4.8922496      2442.9266     -2.6404982      248.48289      0.26716052   
      9900   1.4798057      4.9182303      2445.0148     -2.629593       248.78362      0.26392046   
     10000   1.5311777      4.6467337      2447.7277     -2.6179652      248.572        0.26071714   
     10100   1.5123347      5.0773796      2441.6587     -2.5836124      248.85491      0.25751374   
     10200   1.4965208      4.7962331      2457.4219     -2.5945574      249.18725      0.25444061   
     10300   1.4892827      4.6742381      2468.5582     -2.6002886      249.03783      0.25148257   
     10400   1.5480548      5.054665       2441.3826     -2.5271645      249.7146       0.24855      
     10500   1.5463575      5.3583386      2428.8893     -2.5097786      250.18328      0.24571297   
     10600   1.4440976      5.6055123      2438.3132     -2.5663994      250.66094      0.24296397   
     10700   1.4957928      4.6063401      2454.2704     -2.6382244      251.12872      0.24036531   
     10800   1.4740122      4.667047       2455.0099     -2.6660143      251.71063      0.23791228   
     10900   1.4801993      4.7688068      2442.5705     -2.6615136      251.61799      0.23549578   
     11000   1.460356       5.1919561      2432.1422     -2.6486267      251.84287      0.23308898   
     11100   1.457957       5.1388408      2433.4518     -2.651552       252.60198      0.23075889   
     11200   1.4812591      4.8547758      2442.3076     -2.6551578      252.67924      0.22853501   
     11300   1.5084912      5.0310368      2434.2401     -2.6104957      253.07557      0.22633424   
     11400   1.5210889      4.9451347      2441.1951     -2.5982128      253.52707      0.22421123   
     11500   1.5264843      4.86861        2447.5293     -2.5835431      253.69852      0.22215186   
     11600   1.4796877      4.5232253      2475.0201     -2.6240539      253.65981      0.22014231   
     11700   1.4770395      4.784594       2467.735      -2.5880783      253.93076      0.21816524   
     11800   1.550037       5.0690049      2443.8671     -2.5202008      254.37573      0.21620347   
     11900   1.5379818      5.1896077      2439.2787     -2.5145402      254.47214      0.21424808   
     12000   1.4985406      4.9798076      2451.0864     -2.5710356      254.56734      0.21233724   
     12100   1.5108248      4.8120288      2449.3147     -2.6084916      255.16277      0.21050673   
     12200   1.4875257      4.9091338      2441.8407     -2.6342686      255.33972      0.20872934   
     12300   1.4683917      5.0548346      2435.2061     -2.658841       255.75429      0.20698234   
     12400   1.4546298      5.2808256      2423.5726     -2.6653958      255.89689      0.20526656   
     12500   1.4626469      5.3073764      2417.8929     -2.665099       256.02187      0.20356686   
     12600   1.4575643      4.959154       2433.9876     -2.6948162      255.8488       0.20187701   
     12700   1.464945       5.0563904      2432.8476     -2.666908       256.237        0.20022845   
     12800   1.5327156      4.9130887      2429.6847     -2.6218909      256.68418      0.19860008   
     12900   1.5098148      5.1984165      2430.7146     -2.5891759      257.0677       0.19701657   
     13000   1.4753945      5.0429384      2449.8456     -2.5985823      257.13297      0.19547422   
     13100   1.5321482      5.095068       2442.3022     -2.5496734      257.60234      0.19397137   
     13200   1.5516582      5.1198642      2438.1642     -2.5158795      258.1391       0.1925115    
     13300   1.4998059      5.1074         2454.0522     -2.5433427      258.39755      0.19108911   
     13400   1.4815499      4.8257537      2467.0116     -2.5819715      258.758        0.18975489   
     13500   1.4924428      4.8772387      2454.0504     -2.5892567      259.33419      0.18845923   
     13600   1.5067388      4.9358406      2440.9523     -2.6046849      259.62454      0.18717045   
     13700   1.4902504      4.9383742      2437.4354     -2.64358        259.66923      0.18590188   
     13800   1.4735356      5.0254119      2432.9466     -2.6720544      260.15893      0.1846643    
     13900   1.4776495      5.2017631      2421.4071     -2.6707677      260.44367      0.18345852   
     14000   1.4615079      5.1581568      2425.2518     -2.6928054      260.54201      0.18225739   
     14100   1.4690064      5.1285646      2424.0421     -2.6755069      260.95982      0.18107952   
     14200   1.5140281      4.6631607      2437.9367     -2.6686196      261.24128      0.17993893   
     14300   1.5214694      4.8478756      2437.434      -2.6201651      261.27141      0.17880966   
     14400   1.4948546      5.0602168      2440.5555     -2.5875477      261.29556      0.17768014   
     14500   1.5196589      5.0256408      2444.0885     -2.5683488      261.75608      0.17655292   
     14600   1.5137409      4.9725313      2452.383      -2.5664045      261.82739      0.1754567    
     14700   1.4862761      4.7777958      2466.0058     -2.5884064      262.19645      0.17438748   
     14800   1.5479382      5.0431731      2442.2015     -2.5265134      262.85064      0.17335275   
     14900   1.5545634      5.2421517      2434.7016     -2.5027619      263.31103      0.17234036   
     15000   1.4849804      4.9073304      2460.9702     -2.5787133      263.08149      0.17135761   
     15100   1.5039365      4.734071       2457.8269     -2.594284       263.31175      0.17038336   
     15200   1.5021633      5.0325619      2443.2509     -2.5947992      263.51626      0.16941021   
     15300   1.4872673      5.2528234      2432.0643     -2.5978928      264.05881      0.16845116   
     15400   1.4836774      5.0671552      2435.7213     -2.6266294      264.44048      0.16752727   
     15500   1.49001        4.6981484      2447.3081     -2.6583354      264.33626      0.16661009   
     15600   1.4288876      4.7032015      2463.1767     -2.6891615      264.60321      0.16571264   
     15700   1.521172       4.8678241      2436.7778     -2.6133169      265.01604      0.1648381    
     15800   1.4867381      5.1412217      2438.045      -2.6000639      265.43415      0.16396304   
     15900   1.4701366      5.1017999      2449.0844     -2.6038271      265.48218      0.16310171   
     16000   1.5113397      5.0571579      2444.8147     -2.5656459      265.46909      0.16224664   
     16100   1.5378982      5.0574271      2442.6804     -2.5397811      265.64252      0.1613849    
     16200   1.5561779      4.9522873      2442.3645     -2.5347112      265.95208      0.1605314    
     16300   1.4714719      5.0099004      2458.0227     -2.5873092      266.28454      0.15970655   
     16400   1.4696039      4.7236085      2463.8603     -2.6284103      266.41175      0.15890466   
     16500   1.5307961      5.3157751      2423.7512     -2.5566885      267.12596      0.15811329   
     16600   1.4935981      5.348327       2426.7172     -2.5889566      267.49745      0.15734546   
     16700   1.492268       5.0369474      2433.2805     -2.6362051      267.82574      0.15660972   
     16800   1.4699457      5.2840749      2425.8799     -2.6389402      268.29162      0.15589195   
     16900   1.4854348      5.1475915      2426.8528     -2.6443592      268.59911      0.15518442   
     17000   1.4565472      4.7950623      2448.8176     -2.6819964      268.94649      0.15449844   
     17100   1.4911127      4.8529951      2446.2555     -2.6413392      269.5947       0.1538541    
     17200   1.5150197      5.0999075      2436.5711     -2.5857183      270.18656      0.15323443   
     17300   1.5477957      4.83675        2439.4566     -2.5636888      270.31431      0.15261863   
     17400   1.4963678      5.1252407      2446.8945     -2.5619892      270.55373      0.15200876   
     17500   1.495265       4.8176482      2459.1997     -2.5758771      270.54056      0.1514036    
     17600   1.5171418      4.708853       2463.3429     -2.5757982      270.74252      0.15079855   
     17700   1.5559245      4.9721897      2444.3965     -2.5291739      271.14907      0.1501954    
     17800   1.5044613      4.9993035      2453.6967     -2.5673047      271.33088      0.14961001   
     17900   1.5460311      5.3266444      2426.1692     -2.5232909      271.94711      0.1490313    
     18000   1.5145509      5.1221782      2435.1705     -2.5779064      271.84774      0.14846042   
     18100   1.4618726      4.6917137      2454.5292     -2.6635874      272.06584      0.1478933    
     18200   1.4479794      4.7501189      2453.4817     -2.6924102      272.1505       0.14733424   
     18300   1.4745467      5.0540732      2432.4567     -2.6619988      272.27254      0.14676839   
     18400   1.5085857      4.9006761      2429.3578     -2.6566718      272.37534      0.146194     
     18500   1.5072684      4.9568406      2432.2968     -2.6436424      272.76537      0.14562691   
     18600   1.473527       5.3061479      2433.0767     -2.6172763      273.0718       0.14507734   
     18700   1.512707       5.1578993      2434.5294     -2.5891774      273.27169      0.14453027   
     18800   1.5213976      5.0110407      2441.6331     -2.5783377      273.59318      0.14399112   
     18900   1.4796192      4.8636712      2457.8496     -2.6006076      274.0688       0.14346813   
     19000   1.5219285      4.7417318      2454.0323     -2.5860349      274.22815      0.14296043   
     19100   1.509223       5.1454604      2441.6662     -2.5677935      274.92001      0.14246775   
