# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00871922 0.00351563
19 0.925 0.27113 0.125684
20 0.975 1.35617 0.80459
21 1.025 2.30702 2.08096
22 1.075 2.46863 3.5832
23 1.125 2.14274 5.01123
24 1.175 1.72437 6.26484
25 1.225 1.38987 7.36309
26 1.275 1.12535 8.32637
27 1.325 0.967552 9.2208
28 1.375 0.84491 10.0619
29 1.425 0.743646 10.857
30 1.475 0.692384 11.6502
31 1.525 0.669103 12.4695
32 1.575 0.677168 13.354
33 1.625 0.710381 14.3417
34 1.675 0.752033 15.4526
35 1.725 0.822638 16.7415
36 1.775 0.889741 18.2175
37 1.825 0.979095 19.9345
38 1.875 1.06026 21.8971
39 1.925 1.12132 24.0849
40 1.975 1.18143 26.5112
41 2.025 1.20536 29.1137
42 2.075 1.19601 31.825
43 2.125 1.17235 34.6123
44 2.175 1.12667 37.4186
45 2.225 1.07743 40.227
46 2.275 1.0102 42.9798
47 2.325 0.963139 45.721
48 2.375 0.932945 48.4917
49 2.425 0.89935 51.2763
50 2.475 0.900715 54.1812
22000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00775042 0.003125
19 0.925 0.278499 0.128613
20 0.975 1.32184 0.790332
21 1.025 2.3372 2.0834
22 1.075 2.45868 3.57959
23 1.125 2.14069 5.00625
24 1.175 1.74506 6.2749
25 1.225 1.39346 7.37598
26 1.275 1.12261 8.33691
27 1.325 0.952445 9.21738
28 1.375 0.822838 10.0365
29 1.425 0.747391 10.8356
30 1.475 0.694089 11.6308
31 1.525 0.68912 12.4746
32 1.575 0.681355 13.3646
33 1.625 0.70132 14.3396
34 1.675 0.754545 15.4543
35 1.725 0.817029 16.7344
36 1.775 0.899925 18.2272
37 1.825 0.967902 19.9246
38 1.875 1.04823 21.8649
39 1.925 1.12457 24.0591
40 1.975 1.18562 26.494
41 2.025 1.20998 29.1064
42 2.075 1.2169 31.8651
43 2.125 1.16347 34.6313
44 2.175 1.13526 37.459
45 2.225 1.06203 40.2272
46 2.275 1.01536 42.9941
47 2.325 0.96386 45.7374
48 2.375 0.927585 48.4922
49 2.425 0.908781 51.306
50 2.475 0.891904 54.1825
23000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00775042 0.003125
19 0.925 0.272647 0.125977
20 0.975 1.31774 0.785645
21 1.025 2.3372 2.07871
22 1.075 2.46076 3.57617
23 1.125 2.14801 5.00771
24 1.175 1.7464 6.27734
25 1.225 1.39605 7.38047
26 1.275 1.12478 8.34326
27 1.325 0.947586 9.21924
28 1.375 0.82686 10.0424
29 1.425 0.754971 10.8496
30 1.475 0.701335 11.653
31 1.525 0.670618 12.4742
