# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.00475452 0.000585937
18 0.875 0.112374 0.0181641
19 0.925 0.611698 0.122852
20 0.975 1.05364 0.350195
21 1.025 1.37968 0.689355
22 1.075 1.36587 1.06807
23 1.125 1.38886 1.48037
24 1.175 1.26288 1.88262
25 1.225 1.20928 2.30234
26 1.275 1.12243 2.71309
27 1.325 1.07371 3.12891
28 1.375 1.00735 3.54902
29 1.425 0.981396 3.98184
30 1.475 0.94207 4.42432
31 1.525 0.932855 4.8834
32 1.575 0.920653 5.37598
33 1.625 0.914861 5.89033
34 1.675 0.911177 6.43594
35 1.725 0.926188 7.02715
36 1.775 0.906224 7.65059
37 1.825 0.925235 8.32051
38 1.875 0.950715 9.04619
39 1.925 0.972605 9.829
40 1.975 0.97735 10.6603
41 2.025 0.984089 11.5461
42 2.075 1.00322 12.4916
43 2.125 1.01132 13.4892
44 2.175 1.00867 14.5245
45 2.225 1.02152 15.6112
46 2.275 1.00499 16.7333
47 2.325 1.01768 17.9004
48 2.375 1.00947 19.1132
49 2.425 0.998994 20.3643
50 2.475 1.00121 21.6717
2000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0212754 0.00751953
19 0.925 0.369619 0.158008
20 0.975 1.3397 0.774512
21 1.025 2.10318 1.85127
22 1.075 2.23686 3.11113
23 1.125 1.97705 4.32793
24 1.175 1.68584 5.45742
25 1.225 1.36179 6.44805
26 1.275 1.1942 7.38506
27 1.325 1.00374 8.23359
28 1.375 0.913995 9.06426
29 1.425 0.827919 9.87295
30 1.475 0.770097 10.6771
31 1.525 0.748583 11.5149
32 1.575 0.743267 12.403
33 1.625 0.751444 13.3583
34 1.675 0.794249 14.4326
35 1.725 0.82328 15.6149
36 1.775 0.873761 16.9465
37 1.825 0.948548 18.4763
38 1.875 1.02373 20.2218
39 1.925 1.0749 22.1563
40 1.975 1.1248 24.2874
41 2.025 1.13881 26.554
42 2.075 1.1514 28.9598
43 2.125 1.1417 31.4601
44 2.175 1.11982 34.026
45 2.225 1.06987 36.5898
46 2.275 1.03008 39.1674
47 2.325 0.982701 41.7329
48 2.375 0.972068 44.381
49 2.425 0.945911 47.0654
50 2.475 0.932126 49.8195
3000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00749734 0.00302734
19 0.925 0.280564 0.129883
20 0.975 1.29935 0.782813
21 1.025 2.34348 2.08496
22 1.075 2.48699 3.60459
23 1.125 2.18919 5.06982
24 1.175 1.7337 6.33564
25 1.225 1.38995 7.43828
26 1.275 1.12305 8.40342
27 1.325 0.925478 9.26221
28 1.375 0.835656 10.0973
29 1.425 0.735821 10.8871
30 1.475 0.695485 11.6868
