DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (35.36 35.36 35.36)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.062 seconds
2048 atoms in group Ne
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 26 26 26
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.598 | 3.598 | 3.598 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
      6300   1.4727283      4.791201       2442.6516     -2.6830182      151.63895      0.34629577   
      6400   1.4639326      5.1179234      2427.8851     -2.6804388      152.24997      0.33936443   
      6500   1.5196486      5.4393148      2401.6574     -2.6269505      152.89138      0.33274022   
      6600   1.4405499      5.2761707      2427.059      -2.6804397      153.05523      0.3264134    
      6700   1.4675128      4.6876418      2447.3595     -2.6997518      153.23378      0.32037272   
      6800   1.5120585      4.8255243      2438.7656     -2.6313399      153.6804       0.31460515   
      6900   1.5161857      5.0179974      2440.6906     -2.5839643      154.00386      0.3090331    
      7000   1.5245281      4.8615981      2451.0727     -2.5598527      154.27181      0.30368604   
      7100   1.4916289      4.9932022      2461.6335     -2.5480562      154.46101      0.29853948   
      7200   1.4984792      5.2209365      2455.2292     -2.5113068      154.86652      0.29359019   
      7300   1.4999961      4.9539624      2463.1493     -2.5278439      155.09659      0.28877691   
      7400   1.51373        5.0050204      2458.5148     -2.5275612      155.17292      0.28412892   
      7500   1.5330846      4.8048865      2455.2284     -2.5533393      155.43735      0.27958073   
      7600   1.511233       5.0074193      2445.0801     -2.5760985      155.93672      0.27522227   
      7700   1.4901246      4.8824343      2446.0618     -2.6272023      156.06038      0.27101156   
      7800   1.4582135      4.462237       2461.3625     -2.7087843      156.28111      0.26700205   
      7900   1.4622704      5.1668862      2425.742      -2.6651318      156.68439      0.26313878   
      8000   1.4911406      5.0507464      2421.355      -2.6818281      156.80975      0.25926991   
      8100   1.4708079      5.0704257      2423.9644     -2.6938768      157.09179      0.25554331   
      8200   1.4898667      4.9403182      2427.5167     -2.6818643      157.44942      0.25193496   
      8300   1.4723452      4.8645171      2442.4149     -2.6729253      157.66101      0.24850518   
      8400   1.4593384      4.9671579      2449.3648     -2.6374822      157.98701      0.24518604   
      8500   1.4973816      5.1012862      2448.0141     -2.5758604      158.41143      0.24197725   
      8600   1.5440568      5.0105732      2447.296      -2.5173446      158.66777      0.2388579    
      8700   1.530293       5.0507973      2458.452      -2.4983256      159.06598      0.23585179   
      8800   1.5286903      5.0602436      2460.2389     -2.4792428      159.50265      0.23297649   
      8900   1.5461416      5.0566986      2456.3763     -2.4829096      159.77497      0.23019108   
      9000   1.5073184      4.8901368      2462.8311     -2.5413055      160.07793      0.22753433   
      9100   1.4882103      4.6201429      2467.1332     -2.6108645      160.6353       0.22499665   
      9200   1.45838        4.8016648      2455.0084     -2.6521515      161.11223      0.22260199   
      9300   1.46509        4.9322611      2437.9786     -2.6682438      161.38483      0.2202516    
      9400   1.4555524      5.0786331      2431.2308     -2.685247       161.74486      0.21795059   
      9500   1.47781        5.0546089      2425.2283     -2.6812292      161.96696      0.21571985   
      9600   1.4426874      4.9509589      2438.3838     -2.7026313      161.77077      0.21348581   
      9700   1.4543549      4.8149013      2446.3345     -2.689242       162.0196       0.21128653   
      9800   1.5349485      4.8730182      2432.5852     -2.6088621      162.1962       0.20912023   
      9900   1.5397778      5.0478693      2435.2736     -2.567963       162.7857       0.2070118    
     10000   1.5149525      5.1424679      2440.5252     -2.550578       162.92073      0.20498492   
     10100   1.5254978      5.0246716      2447.9982     -2.5470036      163.32886      0.20298868   
     10200   1.516821       4.8813893      2458.5542     -2.5561061      163.53683      0.20106841   
     10300   1.5248076      4.6725962      2463.5793     -2.5641962      163.56381      0.19918528   
     10400   1.4867472      4.8719641      2463.591      -2.5783219      163.84767      0.19733448   
     10500   1.5080118      5.0478807      2446.7112     -2.5625065      164.31999      0.19553035   
     10600   1.4981476      5.1707993      2441.9066     -2.5733905      164.42306      0.19376876   
     10700   1.5215881      4.9256787      2439.4532     -2.5960713      164.52819      0.19201804   
     10800   1.4941585      5.0456728      2436.9465     -2.6268314      164.85535      0.19031502   
     10900   1.4969368      4.8497168      2439.1452     -2.6574607      164.93812      0.18863606   
     11000   1.4806421      4.6781576      2446.5424     -2.6844099      165.33215      0.18700387   
     11100   1.5134304      4.7354517      2436.2249     -2.6627593      165.81833      0.18545289   
     11200   1.4838078      5.2190154      2424.4473     -2.6287724      166.18234      0.18392843   
     11300   1.4743271      5.0382137      2439.8793     -2.64988        166.364        0.18245491   
     11400   1.5188805      5.3562144      2420.0305     -2.5790967      166.70709      0.18099761   
     11500   1.5616224      5.0948104      2424.8787     -2.5662217      167.10646      0.17957436   
     11600   1.4848821      4.962531       2449.2762     -2.6053445      167.30161      0.17819815   
     11700   1.5044207      4.9644719      2448.6649     -2.581089       167.53537      0.17686279   
     11800   1.4898785      4.7930276      2461.1468     -2.5890338      167.5814       0.1755479    
     11900   1.494434       4.9739801      2456.3549     -2.5717243      168.18772      0.17425356   
     12000   1.5668947      5.0298256      2435.8024     -2.527263       168.73358      0.17303436   
     12100   1.476231       5.3568733      2442.2204     -2.5637017      169.14348      0.17185847   
     12200   1.5124362      4.9972573      2441.4487     -2.5887043      169.36718      0.17071467   
     12300   1.5127192      4.997048       2433.4697     -2.603195       169.66949      0.16959719   
     12400   1.4819202      5.0020771      2436.8789     -2.6418616      169.78587      0.16848292   
     12500   1.4721682      4.862902       2443.097      -2.6717898      170.19235      0.16741062   
     12600   1.4620227      4.898541       2441.8492     -2.6696531      170.52356      0.16638003   
     12700   1.5016482      5.0342022      2432.3593     -2.6291149      170.91845      0.16537512   
     12800   1.4731877      5.3544759      2430.8749     -2.6043478      170.99618      0.16436958   
     12900   1.5195797      5.2358308      2431.2155     -2.5718239      171.24465      0.16336498   
     13000   1.5299361      4.9775458      2443.2103     -2.5639715      171.56733      0.16238698   
     13100   1.4942051      4.8550587      2459.2191     -2.5767776      171.83698      0.1614492    
     13200   1.4976853      4.7426199      2461.5667     -2.5831022      172.06322      0.16052596   
     13300   1.5534037      5.1141267      2433.1873     -2.5368915      172.57117      0.15962651   
     13400   1.5263013      5.0222093      2438.3865     -2.583054       172.91787      0.15875243   
     13500   1.4834091      4.8604055      2446.4427     -2.6396895      173.16049      0.15790629   
     13600   1.4590135      4.934303       2444.6724     -2.6614927      173.35894      0.15707571   
     13700   1.4450799      4.9744501      2443.5094     -2.6681125      173.82615      0.15626239   
     13800   1.4787599      5.0761473      2433.5107     -2.632598       174.22435      0.15546835   
     13900   1.4624512      4.7996837      2453.4838     -2.6569111      174.23534      0.15468803   
     14000   1.4970942      5.1139567      2437.9159     -2.5925952      173.94406      0.15388591   
     14100   1.5197686      5.2498215      2433.8689     -2.5617529      174.15013      0.15305233   
     14200   1.5271632      4.909854       2445.2956     -2.5763431      174.30834      0.15222947   
     14300   1.4936897      4.9010978      2454.2767     -2.5948912      174.70763      0.15142758   
     14400   1.4972753      5.096031       2444.5779     -2.5719981      175.03418      0.15065969   
     14500   1.5262083      5.1171651      2436.498      -2.558783       175.17475      0.1498945    
     14600   1.4835565      5.049506       2446.4325     -2.5954423      175.47888      0.14913307   
     14700   1.4848009      4.4546197      2461.7638     -2.6534127      175.51103      0.14838957   
     14800   1.4618806      4.5987956      2458.6483     -2.681197       176.00632      0.14766259   
     14900   1.4697534      5.0825914      2432.5394     -2.6482779      176.46223      0.14695123   
     15000   1.4942037      4.9525854      2430.8172     -2.659603       176.58334      0.14625685   
     15100   1.4702613      4.9545884      2434.8747     -2.6721258      176.75365      0.14557038   
     15200   1.4788589      5.0377417      2433.2791     -2.6499598      177.03394      0.14488409   
     15300   1.5159599      5.064643       2430.2319     -2.6124656      177.22557      0.14421748   
     15400   1.5196598      4.9441258      2436.5172     -2.5969774      177.34787      0.1435469    
     15500   1.5005244      4.9340382      2447.3808     -2.594139       177.63604      0.14287732   
     15600   1.5135364      5.0852608      2444.5242     -2.5646053      177.67547      0.14221815   
     15700   1.5518646      4.7994701      2447.3806     -2.5598362      178.13612      0.14157009   
     15800   1.4836586      4.9613832      2457.5719     -2.5814426      178.4944       0.14094959   
     15900   1.4942884      4.9904973      2452.8022     -2.5729979      178.79091      0.14034843   
     16000   1.5155602      4.9531274      2449.8408     -2.5701144      179.18499      0.13975733   
     16100   1.5105001      4.7372629      2458.8685     -2.6012296      179.27899      0.1391774    
     16200   1.4843278      5.0409618      2450.1978     -2.5892712      179.66295      0.13860786   
     16300   1.5649828      5.4026255      2420.037      -2.5163538      180.1177       0.13804401   
     16400   1.5091787      5.2270262      2437.9473     -2.5638645      180.36133      0.13749472   
     16500   1.4772869      4.9647512      2453.6017     -2.6049166      180.27476      0.13694818   
     16600   1.5117708      4.9300699      2446.2987     -2.5934286      180.39929      0.13639511   
     16700   1.5083721      4.9446805      2445.7411     -2.5907622      181.19459      0.13585862   
     16800   1.4786335      4.8901522      2454.8456     -2.6096375      181.51993      0.13535852   
     16900   1.5077271      4.8047341      2450.8503     -2.6051684      181.86103      0.13487085   
     17000   1.4834938      5.0040447      2448.4025     -2.6086144      182.08191      0.1343893    
     17100   1.4885211      5.1974226      2438.2365     -2.5942582      182.37386      0.13391719   
     17200   1.5356343      5.1434808      2427.7322     -2.5717796      182.77011      0.13344626   
     17300   1.4733323      5.2171532      2441.1686     -2.6044474      183.31175      0.13300981   
     17400   1.5126333      4.8550574      2444.2259     -2.6159762      183.58393      0.1325782    
