# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.00297644 0.000585937
18 0.875 0.110527 0.0212891
19 0.925 0.536901 0.137891
20 0.975 1.19329 0.435547
21 1.025 1.4822 0.855566
22 1.075 1.51255 1.34082
23 1.125 1.39252 1.82773
24 1.175 1.34928 2.32549
25 1.225 1.24833 2.82861
26 1.275 1.18389 3.33232
27 1.325 1.08318 3.83008
28 1.375 1.03884 4.33906
29 1.425 0.968996 4.84287
30 1.475 0.939572 5.36445
31 1.525 0.937566 5.91787
32 1.575 0.915383 6.49014
33 1.625 0.897955 7.09072
34 1.675 0.893744 7.72617
35 1.725 0.922764 8.41982
36 1.775 0.912797 9.15312
37 1.825 0.95191 9.95947
38 1.875 0.981163 10.8413
39 1.925 1.00287 11.791
40 1.975 0.995289 12.7967
41 2.025 1.00009 13.8628
42 2.075 1.01075 15.0032
43 2.125 1.05498 16.2229
44 2.175 1.01476 17.4688
45 2.225 1.01954 18.7708
46 2.275 1.02428 20.1288
47 2.325 1.01144 21.5406
48 2.375 0.987664 22.9752
49 2.425 0.997837 24.4739
50 2.475 0.99384 26.0272
2000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0166632 0.00595703
19 0.925 0.342724 0.149414
20 0.975 1.35338 0.786426
21 1.025 2.14468 1.90693
22 1.075 2.28891 3.22314
23 1.125 2.02095 4.49326
24 1.175 1.6811 5.64463
25 1.225 1.39518 6.68066
26 1.275 1.17016 7.62178
27 1.325 0.996836 8.48418
28 1.375 0.893737 9.31719
29 1.425 0.804609 10.1219
30 1.475 0.764983 10.9415
31 1.525 0.732689 11.7821
32 1.575 0.727728 12.6726
33 1.625 0.747086 13.6448
34 1.675 0.781472 14.7274
35 1.725 0.826 15.9439
36 1.775 0.874698 17.3087
37 1.825 0.953449 18.883
38 1.875 1.00539 20.6343
39 1.925 1.08749 22.6342
40 1.975 1.14012 24.8404
41 2.025 1.17185 27.2233
42 2.075 1.17333 29.7282
43 2.125 1.15165 32.3075
44 2.175 1.11126 34.9105
45 2.225 1.06569 37.5241
46 2.275 1.02791 40.1555
47 2.325 0.992732 42.808
48 2.375 0.952727 45.4621
49 2.425 0.933176 48.1725
50 2.475 0.920288 50.9568
3000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.010185 0.00410156
19 0.925 0.269272 0.125488
20 0.975 1.32467 0.789648
21 1.025 2.34802 2.09092
22 1.075 2.47867 3.60215
23 1.125 2.14684 5.03545
24 1.175 1.71735 6.28584
25 1.225 1.38822 7.38438
26 1.275 1.12155 8.3457
27 1.325 0.953784 9.22861
28 1.375 0.820299 10.0463
29 1.425 0.759067 10.859
30 1.475 0.699064 11.6608
