# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
26 1.275 1.13134 8.29072
27 1.325 0.948426 9.16377
28 1.375 0.836337 9.99277
29 1.425 0.752742 10.794
30 1.475 0.707899 11.6014
31 1.525 0.698101 12.4524
32 1.575 0.677196 13.3331
33 1.625 0.699244 14.3012
34 1.675 0.75477 15.4113
35 1.725 0.809949 16.6748
36 1.775 0.8865 18.1391
37 1.825 0.976061 19.8436
38 1.875 1.04646 21.7722
39 1.925 1.11699 23.9423
40 1.975 1.17525 26.3457
41 2.025 1.21029 28.9475
42 2.075 1.19825 31.6523
43 2.125 1.17975 34.4452
44 2.175 1.12685 37.2398
45 2.225 1.06397 40.0012
46 2.275 1.02058 42.7702
47 2.325 0.974816 45.5327
48 2.375 0.943032 48.3213
49 2.425 0.911196 51.1302
50 2.475 0.891454 53.9928
6000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00848233 0.00341797
19 0.925 0.283074 0.130859
20 0.975 1.33014 0.796191
21 1.025 2.30544 2.07051
22 1.075 2.46261 3.56797
23 1.125 2.15535 5.00312
24 1.175 1.75529 6.27813
25 1.225 1.38367 7.37041
26 1.275 1.11867 8.32715
27 1.325 0.945551 9.20039
28 1.375 0.834878 10.0309
29 1.425 0.75881 10.8413
30 1.475 0.703604 11.6465
31 1.525 0.673055 12.4699
32 1.575 0.665079 13.3378
33 1.625 0.707903 14.3211
34 1.675 0.757157 15.4388
35 1.725 0.815517 16.7153
36 1.775 0.887557 18.1865
37 1.825 0.975146 19.8951
38 1.875 1.05697 21.85
39 1.925 1.12263 24.0384
40 1.975 1.18695 26.474
41 2.025 1.2056 29.0747
42 2.075 1.19336 31.7777
43 2.125 1.17647 34.5723
44 2.175 1.13117 37.3872
45 2.225 1.07249 40.1804
46 2.275 1.01986 42.9569
47 2.325 0.966827 45.7062
48 2.375 0.928694 48.4616
49 2.425 0.898602 51.2413
50 2.475 0.896136 54.1288
7000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
